File,Percent Increase
Nottingham Cottage,361544.87
Barbara Bush,26777.84
Blues and Royals,5491.29
David Conner (bishop),4925.18
Meghan Markle,4910.44
Royal dukedoms in the United Kingdom,4766.78
Mary Fagan,4265.71
Mark Drakeford,4243.82
Sentebale,4179.59
Prince William,3833.3
"Prince Augustus Frederick, Duke of Sussex",3697.57
"Charles Spencer, 9th Earl Spencer",3631.65
Wedding of Prince William and Catherine Middleton,3598.01
Windsor Castle,3584.76
Lady Diana Spencer,3461.34
British royal family,3432.17
"Prince William, Duke of Cambridge",3417.88
Succession to the British throne,3400.72
"Diana, Princess of Wales",3200.96
"John Spencer, 8th Earl Spencer",3159.32
Prince Harry,3055.12
Duke of Cambridge,3054.09
"Death of Diana, Princess of Wales",2880.06
Princess Eugenie,2694.49
"Windsor, Berkshire",2535.72
Frances Shand Kydd,2496.24
Zara Tindall,2371.18
British throne,2317.75
House of Windsor,2242.44
Earl Spencer (peerage),2203.16
Oman,2143.89
Princess of Wales,2129.58
Kensington Palace,2092.48
Peter Phillips,2051.39
Prince William (disambiguation),2007.69
"Katharine, Duchess of Kent",1705.37
Jamie Lowther-Pinkerton,1662.16
Chi (magazine),1567.35
Bernie Taupin,1453.45
Personal Aide-de-Camp,1429.68
"Prince Andrew, Duke of York",1401.75
Princess Michael of Kent,1339.82
List of current Knights and Ladies of the Garter,1300.83
British prince,1296.9
"Anne, Princess Royal",1296.09
Anmer Hall,1286.49
Queen Elizabeth II,1271.9
Justin Welby,1254.71
St Salvator's Hall,1228.3
Passing out (military),1210.42
"Ruth Roche, Baroness Fermoy",1207.73
Knight Companion of the Order of the Thistle,1184.5
Mark Palios,1182.42
Dominic Raab,1116.26
"Alan Brooke, 3rd Viscount Brookeborough",1080.74
Prince Michael of Kent,1045.88
List of wedding guests of Prince William and Catherine Middleton,1042.18
"Prince Richard, Duke of Gloucester",1040.45
Catherine Middleton,1034.67
Orders of precedence in the United Kingdom,1001.59
Duke of Cornwall,977.94
Mountbatten-Windsor,940.61
2004 Indian Ocean earthquake and tsunami,928.28
Aircrew brevet,913.22
Prince of Wales,898.94
Queen Elizabeth The Queen Mother,888.73
Ludgrove School,861.25
William & Kate: The Movie,853.59
List of dukes in the peerages of Britain and Ireland,850.56
Counsellor of State,842.74
Clarence House,816.38
"Prince Edward, Duke of Kent",814.65
Elizabeth II,808.88
"Prince Philip, Duke of Edinburgh",795.94
Highgrove House,793.3
William Addams Reitwiesner,787.25
Mary of Teck,775.99
"Princess Alexandra, The Honourable Lady Ogilvy",768.23
"Norton Knatchbull, 3rd Earl Mountbatten of Burma",743.02
King George V,739.95
Wetherby School,739.08
Royal Pudding,737.55
Duchy of Cornwall,736.67
Gyles Brandreth,731.06
Peerage of the United Kingdom,723.31
"Cynthia Spencer, Countess Spencer",702.68
Order of the Garter,699.2
