File,Percent Increase
Greek War Cross,27908.33
Bone marrow cancer,12191.67
HMS Whelp (R37),9942.48
HMS Wallace (1918),9815.22
HMS Chequers,7685.71
HMS Magpie (U82),6861.76
"Mon Repos, Corfu",5134.17
Prince Philip (disambiguation),5103.92
Princess George of Greece and Denmark,4636.73
"Sophie, Countess of Wessex",4539.64
Operation Lentil (Sumatra),4027.01
The Duke of Edinburgh's Award,3949.9
Battle of Cape Matapan,3888.72
Carriage driving,3813.82
Operation Robson,3807.76
King Christian IX of Denmark,3560.56
Princess Alice of Battenberg,3384.54
House of Glücksburg,3291.95
Sagana Lodge,3237.56
"Victoria Mountbatten, Dowager Marchioness of Milford Haven",3229.76
Earl Mountbatten of Burma,3167.67
Osla Benning,3133.51
Uffa Fox,3049.68
Wedding of Princess Elizabeth and Philip Mountbatten,2933.03
Michael Mann (bishop),2910.71
Villa Guardamangia,2910.43
List of British royal consorts,2856.03
HMS Calypso (D61),2841.62
Trial of the Six,2688.92
C. K. Stead,2621.69
Grand Duchess Olga Constantinovna of Russia,2574.51
War Cross (Greece),2519.61
Prince of Greece and Denmark,2451.52
"Berthold, Margrave of Baden",2445.96
Commonwealth Study Conference,2304.17
Archdruid,2278.85
Marquess of Milford Haven,2249.54
David Bernstein (executive),2230.52
HMS Valiant (1914),2172.99
Greek royal family,2107.57
1992 Windsor Castle fire,2076.23
Sophie Rhys-Jones,2062.74
Lord High Admiral of the United Kingdom,1969.94
1937 Sabena Junkers Ju 52 Ostend crash,1966.59
Ranger of Windsor Great Park,1866.04
Elizabeth II,1823.93
List of longest-living members of the British royal family,1788.91
Fields in Trust,1768.52
Private secretary,1765.22
Battenberg family,1735.83
Lady Pamela Hicks,1734.82
HMS Royal Arthur (shore establishment),1626.98
Mountbatten family,1600.1
Captain General Royal Marines,1599.43
Croix de Guerre 1939–1945,1572.56
Sue Townsend,1526.32
"Prince Andrew, Duke of York",1479.83
"Princess Eugenie, Mrs Jack Brooksbank",1464.98
Chancellor of the University of Edinburgh,1411.63
Olav V of Norway,1359.15
Prince Philip Medal,1343.9
Combined driving,1325.97
Order of the Garter,1315.79
11 September 1922 Revolution,1276.41
Windsor Castle,1250.31
Salford University,1245.0
Duke of Gloucester and Edinburgh,1219.32
Mountbatten,1216.06
The Liquidator (novel),1200.0
Gyles Brandreth,1139.79
"Julia, Princess of Battenberg",1106.9
Allan Warren,1084.36
Princess Alexandra of Saxe-Altenburg,1072.88
Prince Louis of Battenberg,1069.68
Georgios Hatzianestis,1021.83
Worshipful Master,1009.09
George VI,1007.0
Duke of Edinburgh's Royal Regiment,998.02
Coat of arms of Edinburgh,982.8
Commander (Royal Navy),978.55
Regency Act 1953,957.5
Act of Succession (Denmark),945.21
Christian IX of Denmark,935.58
Druine Turbulent,913.64
Prince Alexander of Hesse and by Rhine,909.7
"Louis IV, Grand Duke of Hesse and by Rhine",890.44
Lord Ivar Mountbatten,890.1
International Equestrian Federation,888.89
List of princes of Greece,882.93
Kingdom of Greece,864.24
HMS Ramillies (07),861.63
King George I of Greece,850.82
"George Mountbatten, 4th Marquess of Milford Haven",842.36
Danish royal family,825.61
"Patricia Knatchbull, 2nd Countess Mountbatten of Burma",824.35
Prince Christopher of Greece and Denmark,812.99
Princess Eleonore of Solms-Hohensolms-Lich,789.71
Tim Heald,782.5
German prince,778.57
Admiral of the Fleet (Royal Navy),775.15
Sandringham Estate,770.35
"David Mountbatten, 3rd Marquess of Milford Haven",769.52
Louise Mountbatten,768.57
Archbishop of Canterbury,744.45
Haakon VII of Norway,739.29
Air Commodore-in-Chief,727.78
"St George's Chapel, Windsor Castle",722.04
Murray Halberg,720.0
The Royal Romance of Charles and Diana,710.29
Arthur Pember,687.5
Lady Tatiana Mountbatten,684.02
Princess Elisabeth of Hesse and by Rhine (1864–1918),683.97
HMS Kent (54),683.25
Grenadier Guards,680.88
The Admiralty,675.61
Prince Philip Designers Prize,674.51
William Pickford,647.37
National Playing Fields Association,646.67
Victor Meldrew,646.47
Half-mast,633.05
"Princess Margaret, Countess of Snowdon",632.99
Grand Master of the Order of the British Empire,630.43
Royal Canadian Regiment,609.52
Knight of the Garter,603.11
"Pavlos, Crown Prince of Greece",596.1
In the Wet,592.77
Prince William,592.18
Brian Barwick,570.45
Marshal of the Royal Air Force,570.4
Northwest University (China),567.92
State Opening of Parliament,567.42
Broadlands,557.5
Queen Elizabeth II,550.9
"Prince Richard, Duke of Gloucester",549.77
Alexandra of Yugoslavia,547.15
Chancellor of the University of Cambridge,546.67
"Prince Edward, Duke of Kent and Strathearn",545.22
"Prince Adolphus, Duke of Cambridge",540.46
King Edward VII,531.64
Prince Peter of Greece and Denmark,528.42
Prince Nicholas of Greece and Denmark,525.32
Edward VII,522.41
Mohamed Al-Fayed,517.73
Mark Palios,514.35
Princess Marie of Battenberg,514.23
Patriot Games,501.25
Charles III,495.95
Barnes Football Club,487.5
Queen Olga of Greece,486.67
Sovereign Grant Act 2011,480.95
Clarence House,469.15
Politically incorrect,467.46
The Cartoon Museum,465.79
Knight of the Order of Australia,464.29
The Queen (2006 film),462.21
Boysie Oakes,457.14
Christopher Lee,454.86
Bob Charles (golfer),436.97
Louise of Hesse-Kassel,435.71
Prince Francis Joseph of Battenberg,424.35
Prince Constantine Alexios of Greece and Denmark,423.91
Heir presumptive,415.05
Lord Louis Mountbatten,413.13
Willi und die Windzors,411.11
Prince Nikolaos of Greece and Denmark,408.53
Kensington Palace,406.82
The Work Foundation,403.64
"Royal Naval College, Dartmouth",400.0
Marion Crawford,392.48
Coronation of Elizabeth II,390.67
Prince Alfred of Great Britain,389.86
Hugo Vickers,388.79
"Alexander Mountbatten, 1st Marquess of Carisbrooke",385.23
Peter Phillips,384.16
Prince Achileas-Andreas of Greece and Denmark,379.84
Saint-Cloud,376.47
Papworth Hospital,371.79
"Death of Diana, Princess of Wales",368.09
Coat of arms of Denmark,367.87
Order in Council,367.86
Hugh Casson,367.57
Royal Family (film),365.4
George I of Great Britain,362.2
Lord Snowdon,360.49
Prince Octavius of Great Britain,358.86
Cowes Week,333.79
Greg Dyke,330.25
George V of Hanover,329.05
Corfu,326.53
The Rifles,325.02
Battle of Crete,322.94
"Louis Mountbatten, 1st Earl Mountbatten of Burma",318.73
Basil Boothroyd,316.67
Tobias Menzies,314.04
Buckingham Palace,313.65
British subject,309.69
Louis St. Laurent,308.14
The Football Association,304.91
Adam Crozier,302.27
Alexandra of Denmark,301.75
Wedding of Prince Charles and Lady Diana Spencer,300.97
Queen consort,299.82
James Fisher (naturalist),297.5
College of Arms,291.13
Palace of Holyroodhouse,289.84
Grand Master (Freemasonry),288.1
Lady Iris Mountbatten,287.06
"Prince William Henry, Duke of Gloucester and Edinburgh",286.83
Wanderers F.C.,284.48
The Queen and I (novel),284.19
Alan Turing,283.2
"Johann Leopold, Hereditary Prince of Saxe-Coburg and Gotha",282.76
Field marshal (United Kingdom),281.75
Westminster Abbey,279.73
Mediterranean Fleet,278.73
"Prince Henry, Duke of Gloucester",277.18
Perceval House,276.92
HMS Shropshire,276.4
Robert Lacey,276.05
Diamond Jubilee of Elizabeth II,274.76
Prince Valdemar of Denmark,273.94
Orders of chivalry,273.33
Lord Leopold Mountbatten,272.41
Trooping the Colour,266.54
Catherine Bennett (journalist),266.32
Nicholas Davies (journalist),265.18
The Crown (TV series),264.34
Frederick VIII of Denmark,263.31
Ebenezer Cobb Morley,263.27
Coronation of the British monarch,260.88
Arthur Drewry,260.0
Civil Service F.C.,259.23
"Prince William, Duke of Cumberland",257.87
"Prince Edward, Duke of Kent",257.86
Battle of the Mediterranean,256.55
C-SPAN,255.53
Prince William of Gloucester,254.91
Prince William of Denmark,253.33
Centenarian,249.64
Lieutenant commander (Royal Navy),245.94
"Charles Edward, Duke of Saxe-Coburg and Gotha",245.31
The Liquidator (1965 film),245.3
Timothy Laurence,244.37
Frederick IX of Denmark,243.46
"George Lascelles, 7th Earl of Harewood",242.22
Jim Bolger,241.19
St Bartholomew's Hospital,239.88
British Pacific Fleet,239.13
Miriam Dell,235.29
Don McKinnon,233.54
"Prince Leopold, Duke of Albany",222.5
Operation Dragoon,218.02
Geoffrey Fisher,214.25
"Prince William Frederick, Duke of Gloucester and Edinburgh",213.73
Prince Axel of Denmark,211.95
Alexander of Battenberg,210.48
Union Flag,210.11
Victoria Eugenie of Battenberg,209.55
"Henrik, Prince Consort of Denmark",208.8
Princess Anne of Bourbon-Parma,208.77
National emblem of Greece,206.25
Prince Alexander John of Wales,206.23
Prince Harald of Denmark,204.53
Balmoral Castle,201.71
Commander of the Royal Victorian Order,200.12
Shridath Ramphal,200.0
"Alexander Cambridge, 1st Earl of Athlone",199.94
Margaret Bazley,196.87
Adelaide of Saxe-Meiningen,196.86
S2CID (identifier),195.25
Jonathan Pryce,195.17
Count Flemming Valdemar of Rosenborg,193.55
Darmstadt,193.15
President Carter,192.59
Greg Clarke,191.98
J. A. Ratcliffe,191.89
"Prince Arthur, Duke of Connaught and Strathearn",191.14
Wedding of Princess Eugenie and Jack Brooksbank,191.05
Prince Michael of Kent,190.07
Prince George Valdemar of Denmark,189.86
Diamond jubilee,186.91
Prince Ernest Augustus of Hanover (born 1914),185.99
World Wide Fund for Nature,185.5
"Robert Cecil, 1st Earl of Salisbury",184.64
"George Mountbatten, 2nd Marquess of Milford Haven",184.15
Prince Gustav of Denmark,183.77
Gordonstoun School,183.45
Prince John of the United Kingdom,181.88
Daniel Burley Woolfall,180.56
His Royal Highness,179.8
"Edgar Adrian, 1st Baron Adrian",179.46
William Keble Martin,179.31
Monte Carlo,178.73
Prince of the United Kingdom,178.61
"Frederick, Prince of Wales",178.15
Vates,176.33
"Edward, Duke of Kent",175.9
David Davies (football administrator),170.34
National Eisteddfod of Wales,170.25
"Alastair Windsor, 2nd Duke of Connaught and Strathearn",170.08
Anne Salmond,169.61
Royal Collection Trust,169.29
British monarchy,168.45
Richie McCaw,168.27
Mark Phillips,168.05
Elin Jones,167.65
June Blundell,167.57
"Ernest Augustus, Duke of Brunswick",167.3
Frederick VII of Denmark,167.27
Prince Arthur of Connaught,166.84
Prince Christian of Denmark,166.24
"David Triesman, Baron Triesman",165.38
Jack Brooksbank,165.21
Arnold Nordmeyer,163.33
"Ernest Augustus, King of Hanover",162.72
Richard Dimbleby,162.22
Canadian Medical Association,162.11
"Robert Devereux, 2nd Earl of Essex",161.68
"Prince George, Duke of Kent",160.0
Exploratory surgery,159.87
Prince Gorm of Denmark,159.15
Church of England,159.0
"Prince George, Duke of Cambridge",158.59
Thomas Alan Stephenson,157.89
Alexandra Feodorovna (Alix of Hesse),157.84
Christian X of Denmark,157.7
Zara Tindall,156.71
"Knud, Hereditary Prince of Denmark",155.35
The Queen (British TV serial),154.76
"Prince Frederick, Duke of York and Albany",153.75
Carwyn Jones,153.44
Prince Hubertus of Saxe-Coburg and Gotha (pilot),152.71
Royal Ascot,150.51
Double agent,150.5
Commonwealth of Nations,150.12
N.N. Club,150.0
ISSN (identifier),150.0
Aberdeen Royal Infirmary,149.73
Court of Appeal (England and Wales),149.41
Indigenous Australian,149.23
Hugh Massingberd,148.45
Peter Jackson,148.41
Regent,147.89
"Prince Erik, Count of Rosenborg",147.37
Patron,147.08
Mike Moore (New Zealand politician),144.76
BAFTA,142.95
Midshipman,142.16
Kenya Colony,140.54
Prince Henry of Battenberg,137.15
"Anne, Princess Royal",136.62
Tipene O'Regan,136.51
Princess Anne,135.99
Leonard Bessemer Pfeil,135.71
"Cambridge, New Zealand",135.63
"Funeral of Diana, Princess of Wales",134.89
Stanley Rous,134.35
Kurt Mendelssohn,134.0
Maria Alexandrovna (Marie of Hesse),133.76
Stewart Granger,133.19
"Prince Augustus Frederick, Duke of Sussex",132.12
Count Ingolf of Rosenborg,132.06
Whina Cooper,131.56
"David Sainsbury, Baron Sainsbury of Turville",130.08
"Princess Alice, Duchess of Gloucester",129.17
Crystal Palace F.C. (1861),129.15
Conway Publishing,128.26
Crown Prosecution Service,126.48
"Prince Aage, Count of Rosenborg",126.18
"Prince Viggo, Count of Rosenborg",125.58
Bert Millichip,125.56
Battle of Okinawa,124.43
Basil Ede,123.08
Lloyd Geering,122.37
"Sarah, Duchess of York",122.33
"Bray, Berkshire",121.29
Michael Joseph (publisher),120.88
Allied invasion of Sicily,120.73
Count Christian of Rosenborg,119.06
Royal Society of Arts,119.0
Cheam School,118.38
British Pathé,117.53
Francis Maule Campbell,116.67
Greek language,116.12
Sub-lieutenant,115.94
Prince Maurice of Battenberg,115.21
Oath of Allegiance (Canada),115.16
Jim Knox,115.0
Prince Joachim of Denmark,114.38
Ralph Walter Graystone Wyckoff,114.29
Peerage of the United Kingdom,113.93
Maria Feodorovna (Dagmar of Denmark),113.2
Prince George of Greece and Denmark,113.17
Richard Matthews (microbiologist),113.04
Malvina Major,112.5
Cowes,110.91
Jonathan Hunt (New Zealand politician),110.29
Nicholas Close,110.0
Prince Vincent of Denmark,108.91
Dynasty,108.52
President of the Family Division,107.94
Princess Eugenie,107.85
Colonel,107.2
Caroline of Ansbach,106.94
"Alfred, Hereditary Prince of Saxe-Coburg and Gotha",106.79
Julian calendar,105.98
Royal Albert Hall,105.86
Charles Clegg (footballer),105.56
Cantonese people,105.24
Princess Margarita of Greece and Denmark,104.32
Frederick V of Denmark,104.31
Prince Charles,104.14
