File,Percent Increase
Princess Eugenie,1652.34
Princess Helena of the United Kingdom,810.36
Queen Victoria,728.94
Balmoral Castle,703.99
Edward VII,610.96
Christopher Bailey (fashion designer),592.72
Princess Anne,533.65
"Anne, Princess Royal",523.62
Princess Beatrice of the United Kingdom,519.35
Lesley Manville,493.42
Equerry,488.84
Princess Elizabeth of Clarence,479.85
George V,471.9
Mary of Teck,471.65
"Princess Louise, Duchess of Argyll",468.67
George VI,431.99
Queen Elizabeth The Queen Mother,428.88
"Louis Mountbatten, 1st Earl Mountbatten of Burma",425.67
Warren Beatty,425.38
British West Indies at the 1960 Summer Olympics,393.4
Elizabeth II,380.66
Serene Highness,356.8
Royal Family Order of Queen Elizabeth II,347.81
Princess Victoria of the United Kingdom,342.51
"Andrew, Duke of York",338.82
The Bank Job,335.79
Princess Margaret,335.56
Princess Elizabeth of the United Kingdom,327.55
British princess,312.29
Princess Augusta Sophia of the United Kingdom,302.06
Roddy Llewellyn,296.46
Nigel Dempster,295.82
Wedding dress of Princess Margaret,292.78
Lady Louise Windsor,282.79
Royal Lodge,277.44
Edinburgh Castle (1947 ship),276.67
Princess Margaret Rose (gladiolus),273.97
Princess Beatrice,269.17
Princess Mary Adelaide of Cambridge,267.04
"Victoria, Princess Royal",266.48
Fabergé,265.81
Princess Alice of the United Kingdom,261.39
The 400 Club,261.11
"Charlotte, Princess Royal",257.8
Earl of Snowdon,251.81
Buckingham Palace,251.36
Coronation of Elizabeth II,234.15
Coat of arms of Scotland,220.29
George I of Great Britain,216.7
Comptroller of the Household,213.91
John Bindon,207.13
Girl Guide,203.7
King George V,203.62
"Mary, Princess Royal and Countess of Harewood",202.96
Royal Victorian Order,197.09
Mark Bonham Carter,196.67
59 Club,191.16
Helena Bonham Carter,182.12
Clarence House,182.12
Bel Powley,174.4
Girlguiding London and South East England,174.16
Princess Beatrice of Saxe-Coburg and Gotha,173.15
Juliana of the Netherlands,172.61
"Princess Margaret Hospital, Christchurch",171.43
Group Captain,170.24
Charles III,166.15
Succession to the British throne,164.94
A Royal Night Out,162.12
Caesarean delivery on maternal request,160.98
Princess Alexandra of Saxe-Coburg and Gotha,154.53
Katie McGrath,153.36
