File,Percent Increase
Fridtjof Nansen,86340.21
International Campaign to Abolish Nuclear Weapons,44403.2
Anna Politkovskaya Award,8331.82
Philadelphia Liberty Medal,7945.24
Sakharov Prize,3817.9
"Board of Intermediate and Secondary Education, Multan",3534.44
"Board of Intermediate and Secondary Education, Gujranwala",3431.17
"Board of Intermediate and Secondary Education, Sargodha",2803.12
Nansen International Office for Refugees,2639.22
Martin Schulz,2521.66
"Board of Intermediate and Secondary Education, Dera Ghazi Khan",1729.41
"Board of Secondary Education, Karachi",1401.43
"AJK Board of Intermediate and Secondary Education, Mirpur",1337.78
Gulalai Ismail,1188.24
Muhammad Yunus,1158.59
Anatoly Marchenko,1132.97
Nobel Memorial Prize in Economic Sciences,888.26
"Board of Intermediate and Secondary Education, Rawalpindi",837.5
"Board of Intermediate and Secondary Education, Sahiwal",742.5
Aung San Suu Kyi,707.5
Razan Zaitouneh,700.73
National Vocational and Technical Training Commission,646.43
Nobel Prize in Literature,615.8
Hu Jia (activist),584.62
Jimmy Carter,568.31
Resistance movement,530.24
Fatwā,512.96
Guillermo Fariñas,509.09
List of educational institutions in Faisalabad,493.97
"Robert Cecil, 1st Viscount Cecil of Chelwood",486.48
Taslima Nasrin,474.32
¡Basta Ya!,467.24
Julio Borges,460.95
Belarusian Association of Journalists,447.06
International Physicians for the Prevention of Nuclear War,424.8
Alaksandar Milinkievič,423.53
Lamiya Aji Bashar,419.05
Izzat Ghazzawi,408.82
Farida Afridi,404.55
Yon Goicoechea,402.38
American Friends Service Committee,399.53
Edgbaston High School,394.85
Nurit Peled-Elhanan,393.65
Ellen Johnson Sirleaf,385.09
Alexei Navalny,379.01
Nobel Prize in Chemistry,378.1
Oleg Sentsov,374.7
List of Nobel Peace Prize laureates,369.08
Nasrin Sotoudeh,362.83
Lê Đức Thọ,325.89
David Letterman,325.14
Shahid Khaqan Abbasi,318.06
"Board of Intermediate and Secondary Education, Larkana",311.36
Pakistan Educational Research Network,309.09
Nobel Prize in Physics,308.09
List of pharmacy schools in Pakistan,299.44
Armed Forces Institute of Cardiology,297.06
2014 Iguala mass kidnapping,288.09
Jody Williams,284.9
Prime Minister of Pakistan,284.28
Salima Ghezali,284.09
Adem Demaçi,278.22
Nobel Prize,276.77
Muhammad Ali Jinnah,270.76
List of educational institutions in Gujranwala,267.35
Mairead Maguire,264.86
Oswaldo Payá,260.92
Henry Kissinger,257.97
Denis Mukwege,249.43
List of Pakistani Nobel laureates,246.75
Lists of educational institutions in Pakistan,245.28
Ziauddin Yousafzai,244.17
Stefan Hell,242.02
Pakistan Academy of Sciences,241.18
First Battle of Swat,232.67
Yitzhak Rabin,232.59
Ahmed al-Senussi,232.5
"Lady Margaret Hall, Oxford",231.42
Hiroshi Amano,230.4
National Council for Homeopathy,229.73
List of Nobel laureates,229.71
2015 Nobel Peace Prize,227.56
2016 Nobel Peace Prize,219.2
Muzoon Almellehan,217.18
Clinton Foundation,214.83
John Boyd Orr,205.13
Nadia Murad,203.52
Pharmacy Council of Pakistan,199.08
List of educational institutions in Sialkot,196.0
2004 Nobel Peace Prize,196.0
Mother Teresa Awards,194.58
2014 Nobel Peace Prize,193.61
Malala Yousafzai,192.36
Philip Noel-Baker,191.3
List of educational institutions in Multan,186.09
Nobel Peace Prize,180.26
List of educational institutions in Islamabad,178.72
Svetlana Alexievich,177.69
Antonio Ledezma,175.63
Sakharov Prize for Freedom of Thought,171.43
Sunni Ittehad Council,168.52
Fatima Bhutto,164.67
Ellis Island Medal of Honor,162.2
Isamu Akasaki,161.97
Simone de Beauvoir Prize,161.54
Pakistan Nursing Council,159.68
Oslobođenje,158.68
Ladies in White,158.0
United Nations Messenger of Peace,155.0
Wei Jingsheng,154.25
Inter-Services Public Relations,154.24
Andrei Sakharov,153.79
Honorary Canadian citizenship,153.0
Patrick Modiano,151.34
Reem Sameer Shaikh,150.71
May-Britt Moser,149.7
Memorial (society),149.21
John O'Keefe (neuroscientist),147.79
Dag Hammarskjöld,147.73
Pakistani Taliban,147.14
Abdus Salam,143.15
Carl von Ossietzky,139.55
Anne Frank,137.07
List of student federations of Pakistan,136.71
Raif Badawi,134.76
Malala,134.64
List of educational institutions in Jhelum,134.15
Alan Cowell,134.15
Adolfo Pérez Esquivel,133.96
Ban Ki-moon,133.53
René Cassin,131.36
Leyla Zana,127.27
Ministry of Federal Education and Professional Training,127.05
Randal Cremer,126.45
Sahar Gul,126.42
Mikola Statkevich,125.0
The Daily Californian,125.0
He Named Me Malala,123.87
Assassination of Benazir Bhutto,123.4
List of educational institutions in Rawalpindi,122.95
Ali Farzat,122.92
Hillary Clinton,122.8
Jean Tirole,122.55
Peshawar Press Club,122.22
2012 Nobel Peace Prize,121.35
2009 Nobel Peace Prize,121.24
Laura Bush,120.89
United Nations peacekeeping,120.38
Adam B. Ellick,119.67
Ernesto Teodoro Moneta,119.17
Durham University,119.07
Wayback Machine,117.95
International Campaign to Ban Landmines,117.77
KidsRights Foundation,117.14
Charles Albert Gobat,115.61
National Testing Service,115.34
Eisaku Satō,113.94
Tawakkol Karman,112.5
Léon Jouhaux,112.2
Desmond Tutu,111.67
"Philosophy, Politics and Economics",111.65
2002 Nobel Peace Prize,111.45
Jafar Panahi,110.37
Asif Ali Zardari,110.24
Louis Renault (jurist),109.74
Anwar Sadat,109.2
Mothers of the Plaza de Mayo,106.01
Second Battle of Swat,105.75
2013 Nobel Peace Prize,105.36
Eric Betzig,105.24
Education in Lahore,104.08
Alfred Hermann Fried,102.82
2001 Nobel Peace Prize,102.75
Bertha von Suttner,102.26
Leopoldo López,102.24
Ludwig Quidde,101.83
Ferdinand Buisson,101.37
Pakistan Army,101.33
International Peace Bureau,100.56
Yusufzai,100.17
"Board of Intermediate and Secondary Education, Abbottabad",100.0
Klas Pontus Arnoldson,100.0
Tunisian National Dialogue Quartet,99.67
Child marriage,99.63
Asmaa Mahfouz,99.24
Willy Brandt,98.85
2010 Nobel Peace Prize,98.71
2011 Nobel Peace Prize,97.25
Elie Wiesel,94.61
United Nations,92.73
Malala (disambiguation),92.68
Pugwash Conferences on Science and World Affairs,90.72
BBC Urdu,90.46
House of Commons of Canada,89.48
2017 Venezuelan constitutional crisis,88.7
Good Morning America,87.67
Dmitry Muratov,87.5
International Women's Day,87.18
Nathan Söderblom,86.87
Pakistan Engineering Council,85.84
Kofi Annan,85.49
Óscar Arias,85.26
Leymah Gbowee,85.24
Carlos Saavedra Lamas,85.19
Holocaust,84.7
Fredrik Bajer,84.48
Gustav Stresemann,84.39
Angelina Jolie,84.37
Green Crescent Trust,84.0
David Trimble,83.94
Megan Smith,83.26
William E. Moerner,81.76
American University,80.69
Women of the World Festival,80.56
Women's rights in 2014,80.3
2008 Nobel Peace Prize,80.11
Liu Xiaobo,78.76
List of educational institutions in Sahiwal,78.57
Tobias Asser,76.26
2007 Nobel Peace Prize,75.98
Burqa,74.67
Norman Borlaug,74.42
Education in Karachi,74.07
John Lewis,73.3
International Children's Peace Prize,72.9
List of accounting schools in Pakistan,72.79
Presidency of Donald Trump,72.75
2006 Nobel Peace Prize,72.73
Emily Greene Balch,72.38
UNRWA,71.72
UN Secretary-General,71.69
Publishers Weekly,71.37
Drone strikes in Pakistan,71.35
Rankings of universities in Pakistan,71.24
Pakistani textbooks controversy,70.9
Hindi,70.45
Presidency of Barack Obama,70.19
"Board of Intermediate Education, Karachi",70.07
