File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Princess Eugenie,25.6,01/18/2018,448.6,01/23/2018,1652.34
Princess Helena of the United Kingdom,376.4,03/09/2018,3426.6,01/15/2018,810.36
Queen Victoria,15749.0,03/09/2018,130549.6,01/15/2018,728.94
Balmoral Castle,746.0,03/09/2018,5997.8,02/12/2018,703.99
Edward VII,5774.2,03/09/2018,41052.2,01/15/2018,610.96
Christopher Bailey (fashion designer),225.4,02/03/2018,1561.4,02/17/2018,592.72
Princess Anne,400.6,03/09/2018,2538.4,01/15/2018,533.65
"Anne, Princess Royal",4224.4,03/09/2018,26344.2,01/15/2018,523.62
Princess Beatrice of the United Kingdom,867.4,03/08/2018,5372.2,01/15/2018,519.35
Lesley Manville,3654.2,01/18/2018,21684.8,03/05/2018,493.42
Equerry,344.0,03/09/2018,2025.6,01/15/2018,488.84
Princess Elizabeth of Clarence,136.0,03/09/2018,788.6,01/15/2018,479.85
George V,6369.6,03/09/2018,36428.0,01/15/2018,471.9
Mary of Teck,2465.2,03/09/2018,14092.2,01/15/2018,471.65
"Princess Louise, Duchess of Argyll",611.0,03/08/2018,3474.6,01/15/2018,468.67
George VI,11686.6,03/09/2018,62171.4,01/15/2018,431.99
Queen Elizabeth The Queen Mother,3883.0,03/09/2018,20536.6,01/15/2018,428.88
"Louis Mountbatten, 1st Earl Mountbatten of Burma",2562.6,03/09/2018,13470.8,01/21/2018,425.67
Warren Beatty,3566.4,01/31/2018,18737.0,03/05/2018,425.38
British West Indies at the 1960 Summer Olympics,21.2,01/24/2018,104.6,02/10/2018,393.4
Elizabeth II,24887.8,03/09/2018,119625.4,01/15/2018,380.66
Serene Highness,151.4,03/09/2018,691.6,01/15/2018,356.8
Royal Family Order of Queen Elizabeth II,73.2,03/09/2018,327.8,01/15/2018,347.81
Princess Victoria of the United Kingdom,237.6,03/09/2018,1051.4,01/15/2018,342.51
"Andrew, Duke of York",307.6,02/13/2018,1349.8,01/15/2018,338.82
The Bank Job,578.4,03/08/2018,2520.6,01/22/2018,335.79
Princess Margaret,1849.8,02/14/2018,8057.0,01/15/2018,335.56
Princess Elizabeth of the United Kingdom,78.4,03/09/2018,335.2,01/29/2018,327.55
British princess,224.6,03/08/2018,926.0,01/22/2018,312.29
Princess Augusta Sophia of the United Kingdom,87.2,03/09/2018,350.6,01/15/2018,302.06
Roddy Llewellyn,356.4,03/07/2018,1413.0,02/27/2018,296.46
Nigel Dempster,52.6,02/08/2018,208.2,02/21/2018,295.82
Wedding dress of Princess Margaret,401.4,03/06/2018,1576.6,01/15/2018,292.78
Lady Louise Windsor,1749.4,03/07/2018,6696.6,01/22/2018,282.79
Royal Lodge,295.2,03/06/2018,1114.2,01/22/2018,277.44
Edinburgh Castle (1947 ship),6.0,01/28/2018,22.6,02/05/2018,276.67
Princess Margaret Rose (gladiolus),14.6,02/19/2018,54.6,01/15/2018,273.97
Princess Beatrice,26.6,02/16/2018,98.2,01/22/2018,269.17
Princess Mary Adelaide of Cambridge,248.2,03/09/2018,911.0,01/15/2018,267.04
"Victoria, Princess Royal",1771.4,03/07/2018,6491.8,01/15/2018,266.48
Fabergé,23.4,03/09/2018,85.6,02/06/2018,265.81
Princess Alice of the United Kingdom,987.4,03/08/2018,3568.4,01/15/2018,261.39
The 400 Club,10.8,02/19/2018,39.0,02/28/2018,261.11
"Charlotte, Princess Royal",200.0,03/08/2018,715.6,01/15/2018,257.8
Earl of Snowdon,320.4,03/06/2018,1127.2,01/15/2018,251.81
Buckingham Palace,1980.8,03/09/2018,6959.8,01/15/2018,251.36
Coronation of Elizabeth II,8.2,02/06/2018,27.4,01/15/2018,234.15
Coat of arms of Scotland,13.8,02/18/2018,44.2,01/25/2018,220.29
George I of Great Britain,1965.6,03/09/2018,6225.0,01/15/2018,216.7
Comptroller of the Household,46.0,03/08/2018,144.4,01/15/2018,213.91
John Bindon,193.6,02/23/2018,594.6,01/29/2018,207.13
Girl Guide,5.4,02/10/2018,16.4,02/20/2018,203.7
King George V,1006.6,02/15/2018,3056.2,01/15/2018,203.62
"Mary, Princess Royal and Countess of Harewood",1135.2,03/07/2018,3439.2,01/15/2018,202.96
Royal Victorian Order,419.2,03/09/2018,1245.4,01/21/2018,197.09
Mark Bonham Carter,6.0,02/26/2018,17.8,01/18/2018,196.67
59 Club,49.8,01/18/2018,145.0,03/04/2018,191.16
Helena Bonham Carter,5369.2,02/15/2018,15147.6,02/28/2018,182.12
Clarence House,1074.0,03/06/2018,3030.0,01/15/2018,182.12
Bel Powley,789.2,02/27/2018,2165.6,02/08/2018,174.4
Girlguiding London and South East England,35.6,02/17/2018,97.6,01/15/2018,174.16
Princess Beatrice of Saxe-Coburg and Gotha,162.4,03/07/2018,443.6,01/22/2018,173.15
Juliana of the Netherlands,347.6,03/09/2018,947.6,02/19/2018,172.61
"Princess Margaret Hospital, Christchurch",5.6,02/01/2018,15.2,02/14/2018,171.43
Group Captain,502.0,02/16/2018,1356.6,01/15/2018,170.24
Charles III,13.0,03/08/2018,34.6,02/14/2018,166.15
