File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Frogmore House,256.2,06/15/2018,33769.2,05/19/2018,13080.8
Charlotte of Mecklenburg-Strelitz,1643.4,05/04/2018,65507.0,05/19/2018,3886.07
Dean of Windsor,29.0,06/06/2018,859.8,05/19/2018,2864.83
"Albert Edward, Prince of Wales",36.6,06/17/2018,1036.6,05/19/2018,2732.24
Kensington Palace,1880.0,06/16/2018,50786.8,05/19/2018,2601.43
Frogmore,206.6,06/15/2018,4572.6,05/19/2018,2113.26
Malcolm IV of Scotland,77.0,06/17/2018,1697.2,05/27/2018,2104.16
British princess,375.2,06/17/2018,7940.0,05/19/2018,2016.2
Duke Charles Louis Frederick of Mecklenburg,43.2,05/05/2018,896.0,05/19/2018,1974.07
Mike Ashley (writer),13.8,06/17/2018,276.2,05/24/2018,1901.45
Duchy of Cornwall,216.0,06/18/2018,3704.8,05/19/2018,1615.19
"Anne, Princess Royal",10448.2,05/11/2018,144528.6,05/19/2018,1283.29
Clarence House,1210.2,06/16/2018,14722.0,05/20/2018,1116.49
Elizabeth II,42508.8,05/04/2018,460835.6,05/19/2018,984.09
Church of England,2062.6,06/16/2018,19098.4,05/19/2018,825.94
Archbishop of Canterbury,740.8,06/13/2018,6637.0,05/19/2018,795.92
Mary of Teck,4917.0,05/11/2018,43776.2,05/19/2018,790.3
Lady Louise Windsor,4979.6,06/08/2018,42980.4,05/19/2018,763.13
Edward VI,568.4,06/18/2018,4842.2,05/19/2018,751.9
Civil list,215.6,05/04/2018,1710.2,05/19/2018,693.23
Buckingham Palace,3163.0,06/16/2018,25075.2,05/19/2018,692.77
George VI,17278.0,05/09/2018,134720.4,05/19/2018,679.72
House of Saxe-Coburg and Gotha,1507.0,06/15/2018,11587.4,05/19/2018,668.91
"Charlotte, Princess Royal",280.4,05/08/2018,2149.6,05/19/2018,666.62
"Ernest Frederick, Duke of Saxe-Coburg-Saalfeld",124.6,06/13/2018,946.6,05/19/2018,659.71
Duchy of Lancaster,339.6,06/15/2018,2543.8,05/19/2018,649.06
Countess Augusta of Reuss-Ebersdorf,45.8,06/17/2018,330.0,05/19/2018,620.52
List of monarchs in Britain by length of reign,984.0,06/15/2018,6729.4,05/19/2018,583.88
Edmund I,548.0,06/16/2018,3729.8,05/26/2018,580.62
Heir presumptive,414.8,05/08/2018,2743.2,05/19/2018,561.33
Lucy Worsley,396.2,05/12/2018,2582.6,06/04/2018,551.84
King George V of the United Kingdom,89.4,05/11/2018,579.8,05/19/2018,548.55
Cannes,860.4,06/09/2018,5528.4,05/14/2018,542.54
British monarchy,72.6,05/08/2018,458.6,05/19/2018,531.68
George V,11203.8,05/11/2018,70482.0,05/19/2018,529.09
King George III,318.6,05/10/2018,2001.0,05/19/2018,528.06
George IV,2289.8,05/04/2018,14139.8,05/19/2018,517.51
Prince Albert of Saxe-Coburg and Gotha,650.8,05/09/2018,4000.6,05/19/2018,514.72
Edward VIII,13881.8,05/04/2018,85140.8,05/19/2018,513.33
Prince Alfred of Great Britain,135.2,06/12/2018,822.8,05/19/2018,508.58
Commonwealth Day,123.2,06/07/2018,743.4,05/24/2018,503.41
Equerry,532.2,05/10/2018,3175.6,05/19/2018,496.69
Order of Prince Danilo I,31.6,04/27/2018,188.2,06/02/2018,495.57
Balmoral Castle,1280.4,06/15/2018,7517.6,05/19/2018,487.13
George III,2184.6,05/11/2018,12699.6,05/19/2018,481.32
List of longest-reigning monarchs,665.2,06/18/2018,3789.2,05/20/2018,469.63
"Mary, Princess Royal and Countess of Harewood",1620.8,05/11/2018,9079.2,05/20/2018,460.17
Edward VII,8504.0,05/09/2018,47332.0,05/19/2018,456.59
Dynasty,1175.6,06/15/2018,6527.0,05/19/2018,455.21
House of Hanover,1408.0,06/15/2018,7746.8,05/19/2018,450.2
Emperor of India,658.8,05/04/2018,3475.0,05/19/2018,427.47
"Mauritius ""Post Office"" stamps",33.0,04/27/2018,171.2,05/22/2018,418.79
House of Oldenburg,319.2,06/15/2018,1637.4,05/19/2018,412.97
Edward III of England,1975.2,06/08/2018,9966.2,05/19/2018,404.57
George II of Great Britain,3186.8,05/04/2018,15635.4,05/19/2018,390.63
Henry VIII,906.0,05/05/2018,4443.6,05/19/2018,390.46
Chapel Royal,92.0,06/08/2018,450.8,05/19/2018,390.0
"Francis, Duke of Saxe-Coburg-Saalfeld",318.4,06/13/2018,1555.6,05/19/2018,388.57
List of British monarchs,2989.2,06/15/2018,14598.4,05/19/2018,388.37
"Francis, Duke of Teck",297.0,05/10/2018,1442.4,05/19/2018,385.66
George I of Great Britain,3379.8,05/11/2018,15948.6,05/19/2018,371.88
Accession Council,64.2,04/29/2018,302.0,05/20/2018,370.4
Eadwig,432.0,06/16/2018,2008.6,05/19/2018,364.95
"Prince Adolphus, Duke of Cambridge",367.0,05/11/2018,1645.4,05/19/2018,348.34
Edmund Ironside,612.8,06/16/2018,2722.8,05/20/2018,344.32
Queen Victoria,18336.6,06/15/2018,81281.0,05/19/2018,343.27
Eadred,452.8,06/16/2018,1984.6,05/19/2018,338.3
Harthacnut,610.0,06/16/2018,2636.8,05/19/2018,332.26
George III of the United Kingdom,4601.2,06/16/2018,19835.6,05/19/2018,331.1
Naser al-Din Shah Qajar,180.8,06/16/2018,766.6,05/24/2018,324.0
"Ernest I, Duke of Saxe-Coburg and Gotha",529.8,06/13/2018,2220.2,05/19/2018,319.06
"Frederick, Prince of Wales",680.6,05/04/2018,2832.2,05/19/2018,316.13
Caroline of Brunswick,458.4,05/04/2018,1878.6,05/19/2018,309.82
List of English monarchs,4723.2,06/15/2018,19263.2,05/19/2018,307.84
Empress of India,192.2,06/13/2018,780.6,05/19/2018,306.14
Christian IX of Denmark,822.0,05/03/2018,3293.2,05/19/2018,300.63
Edward the Martyr,551.4,06/16/2018,2198.2,05/19/2018,298.66
Margrethe II of Denmark,1659.4,05/11/2018,6604.0,05/21/2018,297.98
George IV of the United Kingdom,2156.4,05/04/2018,8499.0,05/19/2018,294.13
Episcopal polity,362.8,06/15/2018,1428.2,05/19/2018,293.66
"Ernest Augustus, King of Hanover",581.4,05/03/2018,2269.8,05/19/2018,290.4
John Brown (servant),335.0,06/15/2018,1276.2,05/28/2018,280.96
King of Hanover,157.8,05/05/2018,600.8,05/19/2018,280.74
"Anne, Queen of Great Britain",4421.2,05/04/2018,16750.6,05/19/2018,278.87
Order of the Immaculate Conception of Vila Viçosa,21.2,04/27/2018,79.6,06/16/2018,275.47
Henry I of England,1677.2,06/16/2018,6296.4,05/19/2018,275.41
"Anne, Princess Royal and Princess of Orange",123.4,06/04/2018,463.2,05/19/2018,275.36
Legitimacy of Queen Victoria,131.0,06/15/2018,488.4,05/19/2018,272.82
Elizabeth I,2604.2,05/04/2018,9616.0,05/19/2018,269.25
Eton College,1859.0,06/16/2018,6737.6,05/19/2018,262.43
