File,Percent Increase
1989 World Artistic Gymnastics Championships,133.6
Jackie Joyner-Kersee,669.89
Karin Büttner-Janz,328.57
Gymnastics vault,2103.3
Arnold Tucker,40.48
Vitaly Scherbo,909.84
John B. Kelly Jr.,191.98
Gymnastics at the 1968 Summer Olympics – Women's artistic team all-around,982.35
Huang Huidan,266.67
North Korea at the 2008 Summer Olympics,1636.9
Tatiana Gutsu,1143.74
Diana Natalicio,19.23
Anita Thigpen Perry,297.18
1991 World Artistic Gymnastics Championships,261.22
Khabib Nurmagomedov,718.97
Sheryl Swoopes,264.52
Riley McCusker,1445.09
Rulon Gardner,635.83
Dora Dougherty Strother,84.0
International Gymnastics Federation,664.48
Gymnastics at the 1972 Summer Olympics – Women's vault,300.0
Romania at the 2008 Summer Olympics,1558.6
Natalia Shaposhnikova,580.49
Rick Wohlhuter,0
Chamique Holdsclaw,140.75
Gussie Nell Davis,81.48
John Carlos,600.14
2014 World Artistic Gymnastics Championships,470.65
Fanny Blankers-Koen,178.12
Anna Maria Farias,18.42
Katherine Rawls,0
Czechoslovakia,97.49
Pacific Rim Championships,1232.94
Abebe Bikila,1043.28
Gymnastics at the 2018 Summer Youth Olympics,472.61
The Hill (newspaper),45.6
Foster care,68.02
Vault (gymnastics),2052.57
American Cup (gymnastics),987.67
ESPN,145.52
Juntendo University,2545.0
Romania at the 1988 Summer Olympics,805.07
Pat Summitt,176.43
Ellie Downie,1945.57
E! News,38.24
Ann-Sofi Pettersson,137.93
New Zealand,45.77
Greg Norman,424.61
Ragan Smith,3068.5
Gymnastics at the 1988 Summer Olympics – Women's floor,605.13
Rafer Johnson,0
Shannon Miller,3081.43
Dawn Fraser,2439.72
Jim Beatty,432.18
Lauren Mitchell,871.16
Women's artistic gymnastics,3194.12
Camilla Feeley,829.73
Jacob Dalton,900.0
Associated Press Athlete of the Year,-100.0
Tracy Caulkins,1978.97
Rebecca Lobo,165.83
Natalie McGiffert,0
Dominique Dawes,3231.79
Soviet Union at the 1964 Summer Olympics,955.79
Carissa Moore,0
USOC Athlete of the Year,891.89
1962 World Artistic Gymnastics Championships,395.45
Gymnastics at the 1976 Summer Olympics – Women's floor,503.85
Alyssa Baumann,849.0
Lady Bird Johnson,33.89
People (magazine),-100.0
Larisa Latynina,3628.61
Don Budge,1287.09
Sabrina Ionescu,112.81
Allyson Felix,4726.72
BBC Overseas Sports Personality of the Year,253.33
2021 U.S. Classic,331.87
Romania at the 1992 Summer Olympics,1761.8
Reuters,172.85
Nicole Ahsinger,2926.83
Stuttgart,23.92
2016 U.S. National Gymnastics Championships,197.75
Olga Mostepanova,102.51
2017 ESPY Awards,966.2
Carly Patterson,5365.54
Chloe Kim,347.43
Gymnastics at the 1948 Summer Olympics – Women's artistic team all-around,924.44
1938 World Artistic Gymnastics Championships,152.94
Salon.com,69.98
Louise Ritter,920.63
United States at the 1984 Summer Olympics,1676.14
Evita Griskenas,3720.21
Los Angeles Times,39.15
Shamila Kohestani,482.35
2011 World Artistic Gymnastics Championships,737.46
Ludmilla Tourischeva,994.97
White House,13.12
United States at the 2004 Summer Olympics,3017.65
John Naber,298.27
2009 World Artistic Gymnastics Championships,186.31
Ling Jie,297.56
Gymnastics at the 2008 Summer Olympics – Women's floor,564.6
Podium training,1656.69
Larisa Petrik,541.56
1994 World Artistic Gymnastics Championships,173.55
Lance Armstrong,155.28
MyKayla Skinner,4541.41
Rachael Blackmore,635.66
Helen Wills,693.99
Ron Clarke,4.58
Romania at the 2012 Summer Olympics,0
Eunice Kennedy Shriver,172.72
Gymnastics at the 1980 Summer Olympics – Women's artistic individual all-around,1919.43
Goran Ivanišević,5680.99
Sanne Wevers,1870.0
Romania,11.92
Rita Crocker Clements,77.11
Pelé,250.65
Florence Griffith Joyner,1011.09
Artistic Gymnastics World Cup,526.28
The Wall Street Journal,24.46
Alex Morgan,736.02
Naomi Osaka,3607.23
Justine Henin,480.62
Jeremy Glick,77.49
USA Gymnastics National Championships,659.27
Soviet Union at the 1960 Summer Olympics,812.73
Dina Kochetkova,928.57
2014 U.S. National Gymnastics Championships,124.62
World Artistic Gymnastics Championships – Women's team all-around,900.0
2003 World Artistic Gymnastics Championships,223.86
Svetlana Boginskaya,673.19
Ann Curtis,0
Norway,13.68
L'Équipe Champion of Champions,208.0
Akash Modi,521.52
Nastia Liukin,4687.77
Christian Gallardo,732.48
Gymnastics at the 2004 Summer Olympics – Women's floor,642.96
Teresa Lozano Long,60.0
Fancy Bear,67.39
Olga Korbut,833.7
Belize,102.73
Bailie Key,620.78
Jordan Chiles,8138.3
Best Female Athlete ESPY Award,617.29
Gymnastics at the 2020 Summer Olympics – Women's floor,0
Chemnitz,21.35
