File,Percent Increase
Centenary,5.24
Tonga national football team,206.48
Football at the Bolivarian Games,11.8
Football at the 1912 Summer Olympics,210.56
South Korea at the FIFA World Cup,-5.9
Wales national football team,7.13
1954 FIFA World Cup squads,-100.0
New Zealand at the FIFA World Cup,41.79
1994 FIFA World Cup squads,-100.0
Panama at the FIFA World Cup,2.6
List of FIFA World Cup stadiums,108.25
Bryon Butler,100.0
World Triathlon Sprint Distance Championships,445.28
2014 FIFA World Cup bids,54.43
Intercontinental Futsal Cup,-8.89
World Scrabble Championship,102.98
World Athletics Half Marathon Championships,88.89
European nations at the FIFA World Cup,35.43
Superbike World Championship,254.61
Dar um Jeito (We Will Find a Way),14.94
Australian Football International Cup,31.77
Red Bull Air Race World Championship,25.7
Cameroon at the FIFA World Cup,45.9
FIFPro,23.0
Haiti national football team,49.0
FIBA Intercontinental Cup,55.11
Pétanque World Championships,128.65
Combat sport,0
FBI,32.04
Panama national football team,25.63
Thomas Müller,137.69
IQA World Cup,388.95
United Arab Emirates at the FIFA World Cup,9.88
World Rogaining Championships,293.75
Niue national soccer team,44.44
Qatar 2022 FIFA World Cup bid,40.99
ICC World Test Championship,379.67
World Professional Darts Championship,209.02
ESPN,28.05
World Long Distance Mountain Running Championships,65.0
Estadio Nacional de Chile,72.34
Hugo Lloris,104.22
World Figure Skating Championships,180.79
FEI World Equestrian Games,431.4
Władysław Żmuda,51.72
Zambia national football team,109.84
Guillermo Stábile,87.72
Morocco national football team,60.46
Northern Ireland at the FIFA World Cup,60.87
Russia national football team,27.56
List of FIFA World Cup finals,26.65
South American U-15 Championship,139.66
FIBA Women's Basketball World Cup,50.93
Cricket World Cup,124.38
CONIFA South America Football Cup,70.0
Valentin Kozmich Ivanov,10.77
Netherlands at the FIFA World Cup,12.99
Yokohama,43.25
Cyprus national football team,151.3
Switzerland at the FIFA World Cup,14.74
Portugal national football team,52.52
FAI World Grand Prix,102.78
Enduro World Championship,50.0
Adidas Telstar 18,119.02
IHF Wheelchair Handball World Championship,152.94
Uruguay at the FIFA World Cup,45.24
IBSF World Snooker Championship,132.77
Estadio Azteca,39.66
UCI Para-cycling Track World Championships,36.27
2022 FIFA World Cup seeding,36.42
Honduras national football team,33.92
World Professional Jiu-Jitsu Cup,0
Waka Waka (This Time for Africa),87.88
Teófilo Cubillas,13.93
FIVB Volleyball Men's World Championship,964.96
World Parachuting Championships,72.09
World Snooker Championship,358.27
World Skateboarding Championship,135.07
Bonaire national football team,4.14
World Triathlon Duathlon Championships,58.33
Baseball World Cup,31.27
FIFA Club World Cup,0
Somalia national football team,91.48
Copa América,91.6
World Taekwondo Championships,0
2022 FIFA World Cup squads,231.33
Football at the Summer Olympics,70.67
Finswimming World Championships,532.73
UCI Mountain Bike Marathon World Championships,0
Five-pin billiards,101.25
