File,Percent Increase
Fred Mitchell (baseball),273.33
1975 Chicago Cubs season,394.37
Chicago Blackhawks,212.0
Sammy Sosa,559.62
1880 Chicago White Stockings season,708.7
1906 Major League Baseball season,469.23
2004 World Series,4261.01
Farm team,40.31
Philadelphia Phillies,394.1
1977 Major League Baseball season,252.78
"Alex Gonzalez (shortstop, born 1973)",1170.16
Major League Baseball on the radio,1786.17
West Side Grounds,1784.21
South Side Park,2764.35
Pat Moran,480.22
2003 Chicago Cubs season,4674.64
Grover Cleveland Alexander,41.83
"Mesa, Arizona",14.12
2008 Milwaukee Brewers season,210.45
1998 Chicago Cubs season,1408.78
List of American League presidents,111.05
Continental Indoor Lacrosse League,48.05
Brooklyn Dodgers,223.27
1904 Chicago Cubs season,378.85
Lewis Flyers,40.62
Charlie Grimm,1303.25
Dennis Farina,-100.0
"French Lick, Indiana",22.73
Boston Braves,433.33
1968 Major League Baseball season,219.58
Cleveland Spiders,1107.18
Chicago Cubs team records,4055.56
Todd Hundley,395.63
Lake Forest College,-100.0
Chris Coghlan,2421.16
Anthony Rizzo,0
"Santa Monica, California",21.51
Chicago Steel,0
ESPN,12.94
Midwest League,114.36
Media guide,52.63
Henry Cotto,290.32
Laura Ricketts,0
1909 World Series,2697.6
1935 Chicago Cubs season,1873.2
World Series,7263.85
Independent Basketball Association,-100.0
Larry Corcoran,191.04
2015 National League Championship Series,2842.86
Todd Ricketts,0
King Kelly,83.92
Twin City Derby Girls,57.14
Wheaton College (Illinois),43.56
Hugh Nicol,65.62
Major League Baseball schedule,502.08
1997 Chicago Cubs season,1390.57
Jon Lieber,491.75
Jimmie Foxx,153.78
Ralph Kiner,148.27
1907 Detroit Tigers season,431.25
1944 Chicago Cubs season,256.86
Ronnie Woo Woo,4401.84
Major League Baseball All-Star Game,333.49
Chicago Bears,209.22
The Winning Team,0
Dexter Fowler,861.88
2003 Major League Baseball season,778.99
Jimmy Ryan (baseball),0
George Frazier (pitcher),133.71
Bruce Sutter,1501.08
Ernie Broglio,556.67
Rowdies Rugby Football Club,-100.0
Cincinnati Reds,530.61
2007 Major League Baseball season,1437.98
Major League Baseball postseason,9747.29
Bob Addy,86.96
Press box,25.14
Albert Lasker,60.0
1957 Chicago Cubs season,0
Marcus Stroman,-100.0
North American Hockey League,26.05
Nick Burdi,36.36
Joe Altobelli,515.28
1969 Chicago Cubs season,5291.84
Chicago Griffins RFC,150.0
Steve Cishek,98.36
List of members of the Baseball Hall of Fame,101.89
Steve Goodman,2812.4
List of Major League Baseball mascots,278.27
Tennessee Smokies,471.83
Major League Baseball uniforms,411.75
Mascot,-2.75
New York Highlanders,550.41
Billy Williams (left fielder),4887.19
Carlos Zambrano (baseball),752.0
North Park University,21.9
1926 Chicago Cubs season,194.92
2015 St. Louis Cardinals season,238.51
Calumet College of St. Joseph,97.44
Tom Trebelhorn,425.0
History of the Chicago Cubs,2650.54
The CW,-100.0
1884 in baseball,261.33
Oakland Athletics,252.25
Shawon Dunston,843.48
College of Coaches,631.31
SIU Edwardsville Cougars,106.21
Fogel Field,51.35
1984 Chicago Cubs season,6138.36
South Bend Cubs,0
WGN (AM),188.37
Jim Lefebvre,120.25
Brandon Webb,134.01
Frank Schulte,592.22
Ned Williamson,231.75
Rule 5 draft,443.27
1918 Chicago Cubs season,2371.01
Chris Bosio,6370.72
Bullpen,1338.87
Ian Happ,0
Steve Stone (baseball),1899.33
Mike Murphy (sports radio personality),18.78
Blair Field,22.02
William Wrigley Jr,325.0
1917 Chicago Cubs season,420.59
Rockford Riverdawgs,31.91
1998 National League Division Series,285.38
Los Angeles Times,66.37
Albert Spalding,1201.73
Fox News,2515.0
1886 World Series,3295.56
Ted Kennedy (baseball),128.57
Baseball's Sad Lexicon,2206.0
Bill Campbell (baseball),108.11
Professional baseball,546.31
1929 Chicago Cubs season,2012.82
Rockford University,-10.0
History of baseball team nicknames,1060.53
Jason Kendall,113.78
List of American League pennant winners,1934.24
Boca Chica,38.24
1966 Chicago Cubs season,342.67
Rube Waddell,227.97
Kolchak: The Night Stalker,36.25
Pitcher,203.68
2010 Chicago Cubs season,1914.61
1880 Major League Baseball season,113.64
1958 Chicago Cubs season,272.92
St. Louis Browns,962.06
Dennis Eckersley,-100.0
Tiger Stadium (Detroit),210.84
1935 Major League Baseball season,183.82
2007 Arizona Diamondbacks season,240.91
American Association (19th century),283.33
Bash Brothers,165.8
Sabremetrics,615.25
Hee-seop Choi,481.3
Carmelo Martínez,422.64
1985 World Series,2294.09
Rod Beck,273.99
Mercedes-Benz in Formula One,572.55
Frank Selee,149.51
1993 Chicago Cubs season,845.56
2008 Oakland Athletics season,41.88
1899 Chicago Orphans season,235.94
1998 Major League Baseball season,898.53
Frontier League,71.13
Vedie Himsl,241.03
1931 Chicago Cubs season,190.38
Steve Garvey,518.25
Quad-City Times,37.01
Tony Lazzeri,129.78
League Championship Series,1065.33
Cy Young Award,1089.09
Anthony Rizzo (baseball),4301.3
McKendree Bearcats,39.13
Governors State University,30.57
The Sandberg Game,346.67
2008 National League Division Series,2386.36
Chicago Sky,250.09
1906 World Series,4766.25
1938 World Series,764.71
Javier Báez,0
1876 Chicago White Stockings season,1955.77
NL Central,293.75
Springfield Jr. Blues,61.45
1998 San Francisco Giants season,57.97
1940 Chicago Cubs season,0
Joe Quest,192.86
2008 Chicago Cubs season,3300.0
1892 Chicago Colts season,185.53
Manchester United F.C.,95.88
Tucker Barnhart,110.71
1994–95 Major League Baseball strike,643.28
2007 Chicago Cubs season,2165.91
Taking Care of Business (film),154.86
1886 St. Louis Browns season,118.87
Joe Carter,-100.0
"Scottsdale, Arizona",124.84
2016 National League Championship Series,3655.69
Derek Lee (baseball),396.0
Indiana University Northwest,41.75
Iowa Cubs,1275.27
Albert Almora,4320.42
1883 in baseball,256.84
Northwoods League,103.67
Yu Darvish,4346.04
1971 Chicago Cubs season,507.81
1989 New York Mets season,-100.0
Wrigley Rooftops,6499.1
National Association of Intercollegiate Athletics,24.97
Western Illinois Leathernecks,111.74
Rick Renteria,1651.59
1902 Chicago Orphans season,342.11
1896 Chicago Colts season,0
Dayton Dragons,297.49
Eamus Catuli,0
Purdue University Northwest,101.88
No-hitter,2494.28
WGN America,95.82
Northwestern Wildcats,0
Joey Amalfitano,200.0
2008 Major League Baseball All-Star Game,203.08
Sportswriter,64.62
Chicago Swans,96.43
1998 Houston Astros season,472.22
Loyola Ramblers,0
Myrtle Beach Pelicans,285.56
Cardinals–Cubs rivalry,1438.14
2008 Houston Astros season,21.43
Hohokam Stadium,134.55
National League East,377.69
NCAA,23.08
1998 New York Yankees season,628.81
Major League Baseball tie-breaking procedures,6631.58
Del Howard,778.79
Latin,5.29
1913 Chicago Cubs season,326.0
Joe McCarthy (manager),304.29
James Belushi,71.71
Bob Kennedy,278.18
Bill Holden (schoolteacher),205.77
WLS-TV,0
Wrigley Company,182.81
Chris Myers,0
Rugby league,-100.0
Milwaukee Brewers,815.29
Schaumburg Boomers,84.53
Indoor Football League,0
Union Association,129.23
List of Major League Baseball retired numbers,164.55
2014 Chicago Cubs season,2139.18
List of National League Wild Card winners,-100.0
United States,153.81
Boston Red Sox,929.63
1962 Chicago Cubs season,434.04
American League East,313.72
Midwest Professional Basketball Association,-100.0
Live-ball era,660.42
Pete Ricketts,0
Brad Boxberger,100.0
Kyle Hendricks,19138.91
American Basketball Association (2000–present),0
Double-A (baseball),122.88
Outfielder,193.24
List of Chicago Cubs no-hitters,3025.4
Back to the Future Part II,303.53
Frank Chance,4448.37
Harry Craft,143.48
List of Major League Baseball franchise postseason droughts,8363.32
National Association of Base Ball Players,292.11
1908 Detroit Tigers season,626.53
Miami,-100.0
Winter Meetings,400.65
The WB,79.25
Tom Burns (baseball),115.62
Southern Illinois Salukis,0
1874 in baseball,86.84
1953 Chicago Cubs season,36.36
Dave Martinez,3042.14
Travis Wood,0
Rich Harden,346.26
South Africa national rugby union team,244.58
Hack Wilson,256.65
Toronto Blue Jays,1155.1
1886 Chicago White Stockings season,586.21
List of Chicago Cubs minor league affiliates,660.64
Rawlings Gold Glove Award,1060.77
Eric Show,1557.66
Left fielder,289.37
Eddie Vedder,0
Orval Overall,5741.07
1980 Chicago Cubs season,647.22
Rich Bordi,153.66
2007 National League Division Series,800.0
Eric Hinske,3091.18
Ferris Bueller's Day Off,11.84
List of professional sports teams in Illinois,0
