File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Boardwalk Empire,2198.0,11/15/2019,3473.6,12/01/2019,58.03
NYPD Blue,999.0,12/08/2019,1336.2,11/07/2019,33.75
60 Minutes,980.2,10/25/2019,1879.4,12/09/2019,91.74
1953 Coronation Honours,64.2,10/29/2019,135.2,11/30/2019,110.59
44th Primetime Emmy Awards,27.2,10/28/2019,51.6,12/09/2019,89.71
Elizabeth II,33167.8,10/31/2019,159634.6,11/18/2019,381.29
Delhi Crime,601.2,11/21/2019,1566.0,12/06/2019,160.48
Lookism (manhwa),208.8,12/11/2019,0.0,10/20/2019,-100.0
This Is Us (season 2),181.8,12/14/2019,630.6,11/20/2019,246.86
John Lithgow,3930.8,11/07/2019,9752.0,10/23/2019,148.09
Imelda Staunton,3604.8,11/20/2019,5221.6,11/22/2019,44.85
Mission: Impossible (1966 TV series),685.8,11/14/2019,754.2,11/06/2019,9.97
Critics' Choice Television Award for Best Drama Series,15.4,12/04/2019,41.4,12/11/2019,168.83
41st Primetime Emmy Awards,37.8,10/27/2019,48.6,11/30/2019,28.57
MV Spirit of Chartwell,17.4,10/24/2019,34.0,11/18/2019,95.4
Mad Men (season 2),343.4,10/26/2019,410.0,12/02/2019,19.39
Burghart Klaußner,46.8,10/31/2019,112.2,11/17/2019,139.74
The Late Late Show with James Corden,0.0,10/20/2019,1610.4,12/11/2019,0
Queen of Mauritius,17.4,11/05/2019,26.6,11/29/2019,52.87
Monarchy of the United Kingdom,2545.8,10/31/2019,5288.8,11/24/2019,107.75
Queen Victoria,19168.6,10/31/2019,31796.0,11/24/2019,65.88
Derek Jacobi,1204.4,10/30/2019,4487.0,11/21/2019,272.55
Andrew Parker Bowles,884.6,11/01/2019,34485.8,11/24/2019,3798.46
"Diana, Princess of Wales",9794.8,11/08/2019,27763.6,11/24/2019,183.45
Monarchy of Saint Lucia,105.4,12/10/2019,162.4,11/21/2019,54.08
Lorne Balfe,268.8,10/26/2019,863.2,11/24/2019,221.13
Prime Minister of the United Kingdom,3945.0,10/26/2019,12233.0,12/13/2019,210.09
Chef's Table,415.2,12/13/2019,662.4,12/03/2019,59.54
List of Mr. Robot episodes,6031.6,10/25/2019,16586.8,12/02/2019,175.0
Prince William of Gloucester,662.8,11/08/2019,1935.0,11/18/2019,191.94
List of The Shield episodes,182.4,11/30/2019,0.0,10/20/2019,-100.0
The Crown,816.8,10/26/2019,1955.0,11/18/2019,139.35
15th Primetime Emmy Awards,24.8,12/03/2019,23.0,12/13/2019,-7.26
Monarchy of Tuvalu,96.6,10/30/2019,200.0,11/20/2019,107.04
Jeremy Northam,665.0,10/31/2019,2041.0,11/18/2019,206.92
The Sopranos (season 6),528.6,12/07/2019,659.6,11/25/2019,24.78
Hilda (TV series),460.0,11/14/2019,638.6,12/11/2019,38.83
Royal Family Order of Elizabeth II,74.8,10/24/2019,266.8,12/12/2019,256.68
Pall Mall (horse),13.8,10/25/2019,56.4,11/18/2019,308.7
23rd Primetime Emmy Awards,20.8,10/25/2019,33.2,11/29/2019,59.62
Westminster Abbey,2777.8,10/31/2019,3264.6,10/22/2019,17.52
Sally Bedell Smith,28.0,11/12/2019,51.4,11/19/2019,83.57
Graham Sutherland,352.8,10/22/2019,1364.0,11/24/2019,286.62
Firefly Lane,146.0,11/01/2019,177.4,11/28/2019,21.51
Simon Jenkins,120.8,11/21/2019,174.8,11/18/2019,44.7
List of The Practice episodes,230.4,11/29/2019,251.2,11/17/2019,9.03
The Queen (Justin Mortimer portrait),6.8,10/23/2019,13.4,11/19/2019,97.06
Treetops Hotel,129.6,11/01/2019,479.8,11/25/2019,270.22
Queen Elizabeth II Silver Jubilee Medal,54.0,12/13/2019,172.8,11/10/2019,220.0
ER (season 2),155.4,12/12/2019,0.0,10/21/2019,-100.0
The West Wing (season 3),171.8,12/13/2019,267.0,12/02/2019,55.41
Alternative Christmas message,25.8,10/31/2019,111.6,12/05/2019,332.56
Writers Guild of America Award for Television: Dramatic Series,12.2,11/22/2019,41.4,12/08/2019,239.34
Queen Elizabeth II Coronation Award,8.6,10/30/2019,23.8,12/08/2019,176.74
Highclere (horse),18.0,10/22/2019,49.0,11/18/2019,172.22
List of Northern Exposure episodes,137.8,12/07/2019,200.4,12/01/2019,45.43
YouTube,41391.4,10/27/2019,78580.8,11/12/2019,89.85
The Queen (British TV serial),44.2,10/31/2019,112.2,11/17/2019,153.85
68th Primetime Emmy Awards,156.4,11/15/2019,253.4,11/04/2019,62.02
Hatfield House,418.8,10/31/2019,580.8,11/16/2019,38.68
Walt Disney anthology television series,566.0,11/01/2019,1627.8,11/13/2019,187.6
Philip Martin (director),46.8,12/11/2019,133.2,10/22/2019,184.62
Monarchy of New Zealand,261.8,10/31/2019,467.0,10/23/2019,78.38
Martin Bashir,247.8,12/12/2019,2978.8,10/26/2019,1102.1
Perth Agreement,140.8,11/08/2019,388.2,11/18/2019,175.71
42nd Primetime Emmy Awards,29.2,10/27/2019,125.4,11/01/2019,329.45
Ainori,85.4,12/10/2019,146.0,11/10/2019,70.96
Royal Journey,8.6,10/24/2019,18.8,12/07/2019,118.6
Josh O'Connor,778.2,11/01/2019,10012.6,11/18/2019,1186.64
4th Primetime Emmy Awards,15.6,10/30/2019,16.8,12/14/2019,7.69
The West Wing,1763.8,12/13/2019,2619.2,11/04/2019,48.5
New Slains Castle,67.4,11/13/2019,120.6,10/31/2019,78.93
Dear Rosie,0.0,10/20/2019,11.8,11/06/2019,0
Disenchantment (TV series),1305.0,12/13/2019,0.0,10/20/2019,-100.0
Monarchy of Solomon Islands,52.0,11/10/2019,85.2,12/07/2019,63.85
Jason Watkins (actor),316.6,10/31/2019,6880.4,11/17/2019,2073.22
Peter Townsend (RAF officer),3290.2,10/24/2019,20726.8,11/24/2019,529.96
Magic for Humans,71.0,10/22/2019,1323.4,12/08/2019,1763.94
39th Primetime Emmy Awards,27.0,10/27/2019,45.8,11/29/2019,69.63
List of China Beach episodes,36.8,10/24/2019,61.4,11/19/2019,66.85
Homeland (season 1),305.8,10/25/2019,420.0,12/01/2019,37.34
Gillian Anderson,3341.6,11/05/2019,4633.2,11/17/2019,38.65
Downton Abbey,5643.8,12/12/2019,0.0,10/20/2019,-100.0
Queen of Malawi,0.0,10/20/2019,18.8,10/27/2019,0
Mr. Robot,7441.6,10/25/2019,15180.6,12/02/2019,104.0
Better Call Saul,3859.6,12/13/2019,0.0,10/20/2019,-100.0
Kent,1423.8,10/26/2019,1703.2,12/04/2019,19.62
Rosalind Knight,166.0,10/23/2019,394.8,10/26/2019,137.83
Komi Can't Communicate,591.2,11/23/2019,1087.2,11/27/2019,83.9
Tim McMullan,55.6,11/06/2019,604.0,11/18/2019,986.33
10th Primetime Emmy Awards,18.6,10/30/2019,19.0,12/13/2019,2.15
Olivia Colman,5231.4,10/25/2019,33892.6,11/18/2019,547.87
Wrotham Park,57.4,10/29/2019,178.6,11/21/2019,211.15
Apollo 11,3299.6,12/14/2019,7298.0,10/31/2019,121.18
57th Primetime Emmy Awards,57.8,10/25/2019,169.4,12/09/2019,193.08
Game of Thrones (season 6),795.8,12/12/2019,1013.8,10/29/2019,27.39
Coronation of Elizabeth II,607.0,11/01/2019,2536.2,11/24/2019,317.83
The Affair (TV series),2055.2,12/13/2019,13389.4,11/04/2019,551.49
Sophie Leigh Stone,32.8,10/25/2019,238.2,11/18/2019,626.22
Dwight D. Eisenhower,7113.2,10/26/2019,9489.0,11/23/2019,33.4
TVLine,101.6,10/22/2019,157.6,11/08/2019,55.12
Monarchy of the Bahamas,170.4,11/02/2019,182.0,11/09/2019,6.81
Law & Order,1187.0,12/14/2019,0.0,10/21/2019,-100.0
Mustique,392.2,10/31/2019,4546.2,11/24/2019,1059.15
Winston (horse),12.4,11/27/2019,9.8,12/14/2019,-20.97
The Wall Street Journal,2175.4,11/17/2019,3151.4,11/20/2019,44.87
Game of Thrones (season 7),995.6,12/12/2019,1272.6,11/02/2019,27.82
Great Central Railway (heritage railway),76.0,11/20/2019,115.6,10/24/2019,52.11
36th Primetime Emmy Awards,36.2,11/18/2019,33.4,11/19/2019,-7.73
The Americans (season 4),184.8,11/16/2019,218.0,11/25/2019,17.97
Michael C. Hall,2820.0,10/31/2019,3437.6,11/14/2019,21.9
Desert Island Discs,687.0,10/23/2019,873.4,12/06/2019,27.13
Sony Pictures Television,499.2,10/25/2019,655.0,11/24/2019,31.21
Rosa 'Queen Elizabeth',14.4,11/14/2019,37.2,10/30/2019,158.33
The Fugitive (season 3),5.4,10/29/2019,9.0,12/14/2019,66.67
A Question of Attribution,32.0,10/26/2019,187.2,11/17/2019,485.0
Duke of Normandy,367.6,12/12/2019,494.6,11/03/2019,34.55
58th Primetime Emmy Awards,62.2,10/28/2019,0.0,10/20/2019,-100.0
Harry Treadaway,690.6,10/25/2019,2532.4,11/24/2019,266.7
Henry VIII (TV serial),103.6,12/10/2019,154.6,11/17/2019,49.23
The Good Wife (season 5),134.2,12/12/2019,205.4,10/22/2019,53.06
"Michael Adeane, Baron Adeane",251.8,10/23/2019,2535.0,11/18/2019,906.75
Stranger Things,11619.4,11/22/2019,17263.6,10/27/2019,48.58
Vikings (2013 TV series),5254.0,10/25/2019,15378.4,12/05/2019,192.7
67th Primetime Emmy Awards,118.8,11/15/2019,0.0,10/21/2019,-100.0
Hugo Vickers,0.0,10/20/2019,98.8,11/18/2019,0
Deadline Hollywood,541.0,11/17/2019,1036.4,11/24/2019,91.57
Supreme Governor of the Church of England,0.0,10/20/2019,199.4,11/03/2019,0
List of The Waltons episodes,321.0,11/03/2019,436.0,11/13/2019,35.83
Stories of the Century,28.6,12/14/2019,58.4,11/10/2019,104.2
List of royal guests at the coronation of Elizabeth II,22.8,11/02/2019,51.0,10/22/2019,123.68
Maverick (TV series),391.4,12/08/2019,538.8,11/16/2019,37.66
Breaking Bad (season 3),523.4,12/13/2019,0.0,10/20/2019,-100.0
Party of Five,960.4,11/11/2019,2772.2,12/08/2019,188.65
NET Playhouse,15.4,10/27/2019,55.0,12/09/2019,257.14
Camilla Shand,203.4,11/01/2019,7325.4,11/21/2019,3501.47
China Beach,371.6,10/31/2019,455.2,11/19/2019,22.5
20th Primetime Emmy Awards,20.0,10/25/2019,31.0,11/09/2019,55.0
Golden Jubilee of Elizabeth II,167.8,11/01/2019,820.8,11/24/2019,389.15
Jeannette Charles,58.6,10/29/2019,96.8,11/30/2019,65.19
Jodi Balfour,356.2,10/25/2019,1006.4,11/17/2019,182.54
Helena Bonham Carter,7498.0,10/23/2019,32000.6,11/27/2019,326.79
Robin Woods,0.0,10/21/2019,6480.6,11/24/2019,0
The Guardian,4795.4,10/30/2019,6182.8,12/06/2019,28.93
Martin Phipps,38.2,11/11/2019,284.4,11/18/2019,644.5
Dragnet (1951 TV series),183.8,12/03/2019,227.4,10/31/2019,23.72
Daily Express,875.8,10/26/2019,1425.4,11/09/2019,62.75
Dogs (TV series),50.0,12/11/2019,0.0,10/20/2019,-100.0
The West Wing (season 2),100.8,12/14/2019,242.6,11/08/2019,140.67
ER (season 3),213.2,11/16/2019,232.0,11/19/2019,8.82
Robert Montgomery Presents,55.2,10/22/2019,60.6,12/14/2019,9.78
