File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
President of the Supreme Court of the United Kingdom,76.8,10/25/2019,0.0,10/20/2019,-100.0
Elizabeth II,33167.8,10/31/2019,159634.6,11/18/2019,381.29
"Prince Leopold, Duke of Albany",412.4,12/13/2019,1139.6,11/24/2019,176.33
United States Ambassador to Kyrgyzstan,5.4,10/27/2019,484.2,11/15/2019,8866.67
London Biggin Hill Airport,106.0,10/26/2019,157.4,11/18/2019,48.49
"Charles Edward, Duke of Saxe-Coburg and Gotha",545.2,10/26/2019,831.0,11/24/2019,52.42
Kingdom of Scotland,773.8,10/25/2019,1277.2,11/03/2019,65.06
"Prince Adolphus, Duke of Cambridge",303.0,10/25/2019,513.6,11/24/2019,69.5
FBI,591.4,11/17/2019,730.2,11/27/2019,23.47
National Audit Office (United Kingdom),0.0,10/20/2019,125.0,11/19/2019,0
HMS Cottesmore (M32),10.0,10/25/2019,207.8,11/17/2019,1978.0
Royal coat of arms of the United Kingdom,775.4,11/15/2019,1045.8,11/08/2019,34.87
Michael Burrows,28.8,12/01/2019,46.8,10/31/2019,62.5
Coutts,334.6,11/09/2019,533.6,11/19/2019,59.47
Sex trafficking,1205.8,10/27/2019,2660.2,11/19/2019,120.62
Civil Service F.C.,27.4,10/28/2019,51.8,11/02/2019,89.05
HMS Invincible (R05),285.6,10/24/2019,528.4,12/12/2019,85.01
US Justice Department,10.0,10/29/2019,27.0,11/20/2019,170.0
Robert Young (materials scientist),3.0,10/29/2019,8.0,12/06/2019,166.67
Prime Minister of the United Kingdom,3945.0,10/26/2019,9825.8,12/13/2019,149.07
Moderator of the Presbyterian Church in Ireland,5.2,10/26/2019,9.2,11/14/2019,76.92
New Zealand,11678.4,11/16/2019,18256.8,12/09/2019,56.33
"Ralph Percy, 12th Duke of Northumberland",158.2,12/13/2019,1154.2,11/03/2019,629.58
The Scout Association,236.6,11/02/2019,317.8,11/24/2019,34.32
Prince William of Gloucester,662.8,11/08/2019,1935.0,11/18/2019,191.94
Midshipman,409.4,10/25/2019,337.4,12/13/2019,-17.59
David Boies,803.2,11/28/2019,1873.6,12/01/2019,133.27
Gerard F. Gilmore,0.0,10/19/2019,12.4,11/07/2019,0
Royal New Zealand Army Logistic Regiment,9.6,11/05/2019,22.4,10/25/2019,133.33
Coat of arms of Ireland,145.4,12/06/2019,208.6,11/16/2019,43.47
Northern Ireland Assembly,685.0,11/23/2019,2186.2,12/13/2019,219.15
Michael Jackson (bishop),29.8,11/26/2019,39.4,11/03/2019,32.21
Metropolitan Police,111.6,12/12/2019,547.4,10/25/2019,390.5
Lord Lieutenant,80.8,10/28/2019,107.8,11/09/2019,33.42
Kensington School,0.0,10/19/2019,8.2,10/22/2019,0
Westminster Abbey,2777.8,10/31/2019,3264.6,10/22/2019,17.52
Duke of York,1001.0,10/26/2019,2647.2,11/20/2019,164.46
Queen Elizabeth II Silver Jubilee Medal,40.0,12/13/2019,172.8,11/10/2019,332.0
York Racecourse,25.4,11/23/2019,57.2,12/07/2019,125.2
Jacqui Smith,207.8,10/27/2019,449.2,12/13/2019,116.17
RAF Lossiemouth,0.0,10/19/2019,155.6,12/01/2019,0
John Brockman (literary agent),51.4,11/12/2019,1308.2,11/17/2019,2445.14
Reuters,2194.4,11/17/2019,3110.0,11/20/2019,41.72
Lieutenant Commander,0.0,10/20/2019,147.4,10/26/2019,0
Elizabeth II of the United Kingdom,350.4,11/15/2019,475.0,12/11/2019,35.56
Good Morning Britain (2014 TV programme),437.8,10/27/2019,936.2,11/18/2019,113.84
Royal Lancers,100.2,10/27/2019,138.4,11/10/2019,38.12
Prince consort,213.0,11/01/2019,782.0,11/20/2019,267.14
Ken Starr,535.4,11/30/2019,3808.2,11/21/2019,611.28
Sakhalin-II,0.0,10/20/2019,88.4,12/03/2019,0
Frederick Wall,4.4,10/25/2019,7.0,11/07/2019,59.09
The Royal and Ancient Golf Club of St Andrews,115.8,11/09/2019,254.2,11/17/2019,119.52
Prince Arthur of Connaught,208.8,11/05/2019,702.2,10/23/2019,236.3
Phillip Thomas Hawkins,2.8,10/25/2019,6.6,11/20/2019,135.71
Sea Cadets (United Kingdom),65.6,12/12/2019,118.4,11/10/2019,80.49
Vice Admiral (Royal Navy),27.6,10/24/2019,264.0,11/21/2019,856.52
"James Hamilton, 5th Duke of Abercorn",121.8,10/28/2019,221.0,11/22/2019,81.44
K. C. Nicolaou,35.6,11/30/2019,290.8,12/11/2019,716.85
Earl of Inverness,26.0,11/01/2019,164.8,11/21/2019,533.85
United States Secretary of Defense,1472.8,11/30/2019,3367.2,11/25/2019,128.63
Royal Victorian Order,0.0,10/19/2019,1970.0,11/17/2019,0
Tina Brown,0.0,10/19/2019,727.8,11/21/2019,0
The Diana Chronicles,10.6,10/26/2019,21.2,11/27/2019,100.0
Vicky Ward,149.0,10/26/2019,1019.8,11/23/2019,584.43
RNAS Portland (HMS Osprey),10.8,12/13/2019,33.2,11/20/2019,207.41
Ilham Aliyev,606.4,11/03/2019,763.6,12/06/2019,25.92
David Brewer (broker),12.2,10/21/2019,16.2,12/13/2019,32.79
"Prince Albert Victor, Duke of Clarence and Avondale",1310.2,11/08/2019,3156.0,11/18/2019,140.88
Verbier,137.0,11/02/2019,329.8,11/20/2019,140.73
Mustique,392.2,10/31/2019,4546.2,11/24/2019,1059.15
Geoff Thompson (football executive),7.4,12/09/2019,21.2,11/01/2019,186.49
"Ernest Augustus, Duke of Brunswick",0.0,10/19/2019,416.8,11/23/2019,0
The Football Association,779.6,12/07/2019,1146.2,11/13/2019,47.02
Gillian Griffiths,5.8,10/26/2019,12.8,11/24/2019,120.69
University of Huddersfield,228.2,10/26/2019,590.0,12/11/2019,158.55
Norway,8201.8,11/09/2019,11856.2,11/21/2019,44.56
Sir Lindsay Hoyle,19.2,11/22/2019,1710.6,11/04/2019,8809.38
Mexico,10725.8,10/26/2019,11580.4,10/21/2019,7.97
Dmitry Medvedev,2362.6,11/29/2019,2503.0,12/09/2019,5.94
University of Cambridge,3184.8,10/26/2019,3632.2,10/22/2019,14.05
Order of precedence in Northern Ireland,21.6,11/12/2019,0.0,10/20/2019,-100.0
Settled out of court,9.0,11/08/2019,22.4,10/27/2019,148.89
Yorkshire Regiment,113.0,10/27/2019,183.0,11/10/2019,61.95
Newsnight,210.4,10/27/2019,520.8,11/25/2019,147.53
"Katharine, Duchess of Kent",580.2,11/08/2019,657.4,11/10/2019,13.31
"Francis Egerton, 7th Duke of Sutherland",73.2,10/28/2019,108.2,12/12/2019,47.81
DK (publisher),206.6,12/10/2019,291.8,11/05/2019,41.24
Perceval House,5.4,10/27/2019,8.6,12/08/2019,59.26
Outward Bound,176.8,10/31/2019,418.0,11/19/2019,136.43
Dominic Raab,1004.0,11/02/2019,7382.6,12/13/2019,635.32
Lord Speaker,191.8,11/26/2019,581.2,11/04/2019,203.02
Paul G. Cassell,26.4,10/26/2019,24.2,10/27/2019,-8.33
Nadia Marcinko,152.8,10/25/2019,798.6,12/03/2019,422.64
The Guardian,4795.4,10/30/2019,6182.8,12/06/2019,28.93
Thames Valley Police,131.0,11/01/2019,0.0,10/20/2019,-100.0
C-SPAN,1095.2,10/29/2019,1684.0,11/01/2019,53.76
Order of Isabella the Catholic,126.4,11/04/2019,174.2,10/25/2019,37.82
Felipe VI,539.0,11/15/2019,981.4,10/24/2019,82.08
Kenneth Hahn,36.0,11/18/2019,42.0,11/07/2019,16.67
Earl Marshal,190.8,10/26/2019,302.4,12/02/2019,58.49
The Sunday Times,627.8,10/30/2019,990.6,11/14/2019,57.79
Peter Phillips,1320.2,11/08/2019,11915.2,11/18/2019,802.53
Francis Marindin,10.0,11/05/2019,12.4,11/09/2019,24.0
Duke of York and Albany,0.0,10/19/2019,54.2,10/28/2019,0
Royal dukedoms in the United Kingdom,217.8,11/07/2019,530.8,11/21/2019,143.71
Commander (Royal Navy),168.0,10/25/2019,408.2,11/17/2019,142.98
"Richard of York, 3rd Duke of York",291.4,12/13/2019,1797.0,11/03/2019,516.68
KPMG,3047.8,10/27/2019,4298.4,11/18/2019,41.03
Englefield Green,33.6,10/26/2019,0.0,10/20/2019,-100.0
Paul M. Sharp,8.6,10/21/2019,16.4,11/04/2019,90.7
Fight for Sight (UK),4.6,10/24/2019,12.6,11/18/2019,173.91
Juan Carlos I,208.8,12/13/2019,551.0,10/24/2019,163.89
"David Armstrong-Jones, 2nd Earl of Snowdon",0.0,10/19/2019,32341.6,11/18/2019,0
Randy Schekman,71.8,11/17/2019,89.2,11/20/2019,24.23
Terry Wyatt,0.0,10/20/2019,13.2,11/20/2019,0
