File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
"Mayor of Washington, D.C.",5.4,10/18/2018,23.8,11/07/2018,340.74
Mark Harris (North Carolina politician),226.2,11/24/2018,1391.4,11/07/2018,515.12
Reed Gusciora,24.6,11/18/2018,28.8,11/27/2018,17.07
Legislative Assembly of Puerto Rico,41.0,10/21/2018,70.4,11/08/2018,71.71
Tim Murphy (American politician),71.6,11/30/2018,347.0,11/07/2018,384.64
"United States Senate elections, 2016",128.6,12/02/2018,15226.8,11/07/2018,11740.44
North Carolina,3900.8,10/13/2018,4719.2,11/07/2018,20.98
Wyoming,3682.6,11/23/2018,5661.2,11/07/2018,53.73
Statehood movement in the District of Columbia,83.8,10/20/2018,298.8,11/07/2018,256.56
New Hampshire,2399.2,12/01/2018,3687.0,11/07/2018,53.68
Ayanna Pressley,380.6,10/28/2018,9188.8,11/07/2018,2314.29
Governor (United States),671.8,12/02/2018,16379.8,11/07/2018,2338.2
Arizona's 8th congressional district,73.6,12/02/2018,480.0,11/07/2018,552.17
Governor of Colorado,175.8,12/02/2018,2241.8,11/07/2018,1175.2
Jeff Zeleny,55.6,10/14/2018,194.8,11/06/2018,250.36
The Hill (newspaper),540.4,11/23/2018,0.0,10/09/2018,-100.0
U.S. states,99.2,11/17/2018,179.6,11/13/2018,81.05
By-election,262.4,11/28/2018,1025.6,11/07/2018,290.85
American Health Care Act of 2017,332.6,11/22/2018,1094.2,11/07/2018,228.98
Christopher A. Wray,512.2,10/20/2018,2117.6,10/26/2018,313.43
Native Americans in the United States,6215.8,10/13/2018,8721.2,11/29/2018,40.31
Christine Hallquist,177.8,11/30/2018,4014.0,11/07/2018,2157.59
Wisconsin,3082.2,12/01/2018,5721.0,11/07/2018,85.61
Road Repair and Accountability Act,22.6,11/30/2018,326.2,11/07/2018,1343.36
Medicaid,1182.2,11/22/2018,2514.8,11/07/2018,112.72
Minnesota,3555.4,11/22/2018,5653.4,11/07/2018,59.01
Brenda Jones (politician),10.0,10/15/2018,489.2,11/08/2018,4792.0
NBC,2302.8,12/01/2018,2622.0,11/23/2018,13.86
Maryland,3257.6,12/01/2018,4777.4,11/07/2018,46.65
Charlie Dent,158.0,12/01/2018,835.2,11/07/2018,428.61
United States congressional committee,401.6,10/20/2018,1346.4,11/07/2018,235.26
Nashville,217.4,11/21/2018,330.2,11/10/2018,51.89
Pennsylvania,4699.0,12/01/2018,7918.0,11/06/2018,68.5
Franklin Garcia,5.8,11/25/2018,110.0,11/06/2018,1796.55
Approval voting,165.6,10/13/2018,533.4,11/06/2018,222.1
State treasurer,51.2,11/24/2018,232.6,11/06/2018,354.3
Inauguration of Donald Trump,656.8,11/24/2018,1404.0,11/07/2018,113.76
Subpoena,870.2,10/13/2018,2344.0,11/07/2018,169.36
