File,Percent Increase
Stars in the House,162.0
Puja (Hinduism),105.66
60 Minutes,301.08
2020 Maine elections,541.67
COVID-19 pandemic in Florida,89.11
Angela Nicole Walker,2188.71
2020 United States Senate elections,670.66
Tulsi Gabbard 2020 presidential campaign,538.8
List of United States senators from Delaware,560.45
1840 United States presidential election,1123.16
List of Joe Biden 2020 presidential campaign endorsements from organizations,1432.26
Barack Obama 2012 presidential campaign,1243.61
List of people who received an electoral vote in the United States Electoral College,726.46
COVID-19 pandemic in Alaska,59.97
2020 Winston-Salem mayoral election,204.65
Eric Garcetti,209.37
"U.S. Deaths Near 100,000, An Incalculable Loss",42.31
Omnibus Counterterrorism Act of 1995,340.08
Hindu Sena,201.5
Brett Giroir,608.2
Puerto Ricans,60.94
2020 United States House of Representatives elections in Louisiana,145.01
Kimberly Prather,-100.0
COVID-19 pandemic in Nebraska,95.49
P. V. Gopalan,30026.86
List of political parties in the United States,1138.08
Religious Freedom Restoration Act (Indiana),1920.81
1900 United States presidential election,1265.85
Communist,10.56
Russia investigation origins counter-narrative,0
Mark Sanford 2020 presidential campaign,182.5
Trump administration political interference with science agencies,423.03
2020 stock market crash,73.53
Denver,36.82
WhatsApp,94.49
Marianne Williamson 2020 presidential campaign,237.63
Electoral history of Kamala Harris,2142.59
Internet meme,24.17
Gerrymandering,1031.16
Make America Great Again,355.13
Voting machine,870.29
COVID-19 pandemic in Nevada,0
The Hill (newspaper),451.47
Second American Civil War,771.55
WCSH,37.75
2020 United States presidential election in Utah,630.04
2020 United States Senate election in Illinois,167.61
Dominican Americans,31.64
The Stanford Daily,34.68
2020 United States House of Representatives elections in Kansas,330.94
Results of the 2020 Green Party presidential primaries,563.77
Results of the 2020 Libertarian Party presidential primaries,1553.85
Stock market,43.64
Bangor Daily News,157.33
2020 United States House of Representatives elections in Florida,411.89
National Security Agency,53.8
Jeffrey Zients,419.02
Christopher A. Wray,450.54
Socialist Alternative (United States),155.52
Michael Bennet,221.76
Town hall meeting,854.53
2020 United States Senate election in Tennessee,381.82
2020 United States Senate election in New Jersey,141.63
National Election Pool,0
Tom Wolf,0
2020 United States House of Representatives elections in Colorado,250.55
Great American Economic Revival Industry Groups,258.96
Veteran,1310.6
Justice for Victims of Lynching Act,394.79
New York State Right to Life Party,90.71
Violent Crime Control and Law Enforcement Act,620.14
United States presidential line of succession,456.97
Business career of Donald Trump,662.0
2020 United States presidential election in North Carolina,4761.05
United States presidential elections in California,5459.48
Legal affairs of Donald Trump,712.42
Pardon of Joe Arpaio,460.88
2020 Idaho Senate election,0
2020 United States House of Representatives election in Puerto Rico,681.25
Article Two of the United States Constitution,469.64
Indian National Congress,42.1
Saturday Night Seder,88.76
2000 United States presidential election,3091.49
Social distancing,34.99
2020 United States House of Representatives elections in Oregon,290.02
Timeline of the Donald Trump presidency (2017 Q2),331.85
Wisconsin,561.54
Larry Hogan,0
COVID-19 pandemic in Arkansas,120.64
Russian interference in the 2020 United States elections,913.54
2002 United States Senate election in Delaware,509.11
"Promise Me, Dad",2516.49
1868 Democratic National Convention,229.01
American Jews,24.5
List of unsuccessful major party candidates for President of the United States,1226.03
Caitlin Rivers,153.33
India,14.75
Electoral fraud,1535.14
2020 Montana Attorney General election,186.46
2018 opinion polling on the Donald Trump administration,81.97
2020 Georgia House of Representatives election,0
COVID-19 pandemic in Kansas,210.02
Donald Trump Jr.,1674.32
Family of Joe Biden,6795.76
Donald J. Harris,19327.14
Kanye West 2020 presidential campaign,4048.71
Toronto,0
Philadelphia,0
2020 United States House of Representatives elections in Oklahoma,414.39
Corporate tax in the United States,72.83
Operation Warp Speed,1801.41
Bill Bishop (author),10.85
Tucker Carlson,268.6
COVID-19 pandemic in Puerto Rico,36.41
Joe Biden 1988 presidential campaign,4102.01
United States presidential elections in New Mexico,2128.93
Neilia Hunter Biden,11470.07
NBC,0
Cartogram,252.2
Marc Lipsitch,191.6
Director of National Intelligence,266.27
Kosovo and Serbia economic normalization agreements (2020),192.86
Stephanie Saul,215.28
YouTube,0
Reuters,146.54
Donald Trump 2020 presidential campaign,813.6
United States presidential elections in Arkansas,0
Opinion polling on the Donald Trump administration,210.35
United States presidential elections in South Dakota,1407.66
COVID-19 pandemic in the Guantanamo Bay Naval Base,196.1
Third party (United States),922.25
QAnon,1312.36
2020 Oregon state elections,363.81
Trump: The Art of the Deal,212.9
Maya Harris,10751.04
COVID-19 pandemic in Oregon,207.61
United States presidential election summary,627.78
Gustave F. Perna,4951.94
United States presidential elections in Arizona,5915.96
2020 United States House of Representatives election ratings,995.17
List of United States senators from California,331.22
Exit poll,3841.81
2020 United States Senate election in Wyoming,366.09
Speaker of the Pennsylvania House of Representatives,467.24
COVID-19 pandemic in New York (state),42.79
Douglas Emhoff,97990.8
Hispanic and Latino Americans,107.39
Neil Gorsuch Supreme Court nomination,897.02
Government Executive,70.87
United States presidential elections in Alabama,1340.14
Impact of the COVID-19 pandemic on politics,49.59
2020 United States presidential election in Texas,2878.72
MusiCares COVID-19 Relief Fund,444.19
Socialist Action (United States),184.98
"Orlando, Florida",26.32
Tony Evers,485.98
Vanessa Trump,1211.39
Veracity of statements by Donald Trump,606.4
Immigration policy of Donald Trump,351.13
2020 Utah gubernatorial election,419.72
2020 Massachusetts Senate election,0
2020 United States Supreme Court vacancy,606.41
Standing Rock Indian Reservation,34.03
Inauguration of Donald Trump,679.27
United States presidential elections in Nebraska,9246.09
Urban area,0
Los Angeles Times,13.49
The Atlanta Journal-Constitution,200.39
2012 Democratic National Convention,184.7
Public health insurance option,224.34
NBCNews.com,352.53
1940 United States presidential election,1189.8
Fox News,452.79
Pseudonyms of Donald Trump,308.32
Mary Anne MacLeod Trump,1198.69
List of United States presidential elections in which the winner lost the popular vote,3774.43
2020 American Samoa gubernatorial election,0
2020 California elections,272.33
2020 United States presidential election in Michigan,0
Ronnie Kroell,25.25
2020 Missouri elections,258.04
"2020 Cook County, Illinois elections",479.61
George Floyd protests,87.83
Timeline of the Donald Trump presidency (2020 Q3),323.84
United States presidential elections in Utah,1200.64
VoiceoverPete,31.64
Acquittal,64.75
Tomorrow Will Be Different,5083.02
The Charlotte Observer,155.86
List of presidential trips made by Donald Trump (2019),112.93
1800 United States presidential election,733.28
Mitt Romney's 2016 anti-Trump speech,1518.0
2020 Wilmington mayoral election,290.7
Big lie,72.19
2020 United States House of Representatives elections in Nevada,426.0
2020 Alaska elections,244.87
United States presidential elections in Hawaii,5469.23
Fracking,234.35
Democratic Party (United States),905.5
2020 Puerto Rico gubernatorial election,2011.77
2020 United States Senate election in Delaware,487.01
Peter Hotez,465.91
South Bend Tribune,27.21
Kirsten Gillibrand,194.79
Borat Subsequent Moviefilm,2714.7
"Robeson County, North Carolina",527.97
2020 United States Senate election in Rhode Island,78.36
"Petersburg, Virginia",30.24
Seth Moulton,100.0
Political positions of Michael Bloomberg,83.03
2020 United States presidential election in Pennsylvania,5467.68
Donald Trump sexual misconduct allegations,1412.75
The Wall Street Journal,189.03
Associate degree,56.57
2020 Alabama elections,379.71
United States presidential elections in Connecticut,1075.58
1876 United States presidential election,908.1
List of presidential trips made by Donald Trump (2018),294.47
Deborah Birx,271.07
Nationwide opinion polling for the 2020 Democratic Party presidential primaries,98.49
American Association for Public Opinion Research,48.91
2020 United States Senate election in Kentucky,430.31
Working Families Party,569.91
List of Pete Buttigieg 2020 presidential campaign endorsements,381.44
House Intelligence Committee,422.64
COVID-19 pandemic in the San Francisco Bay Area,87.97
Trump administration family separation policy,768.75
Timeline of the Donald Trump presidency (2020 Q2),-100.0
Ryan D. McCarthy,419.06
2020 United States House of Representatives elections in New York,277.39
2020 San Diego City Attorney election,1083.33
Trump National Golf Club Bedminster,164.29
Deval Patrick,0
21st Century Cures Act,333.2
Party-line vote,412.46
"Coronavirus Aid, Relief, and Economic Security Act",-100.0
Chris Wallace,819.01
2020 Republican Party presidential debates,3840.43
Adrienne Arsht Center for the Performing Arts,1019.46
South Carolina presidential primary,261.4
2020 United States Senate election in Minnesota,158.15
2020 Illinois elections,337.94
2020 Indiana gubernatorial election,473.4
Trump Tower,550.23
1880 United States presidential election,1193.52
Tony West (attorney),8389.87
2020 United States House of Representatives elections in Maine,214.93
Andrew Yang,0
COVID-19 pandemic in Mississippi,88.56
1936 United States presidential election,1695.99
A Day in the Life of Marlon Bundo,450.39
Precedent,321.25
Trump Death Clock,-100.0
Political positions of Elizabeth Warren,224.16
Libertarian Party (US),441.9
Organization for Security and Co-operation in Europe,166.99
Crow Creek Indian Reservation,0.53
Birthday Party (political party),60723.81
General Services Administration,5519.82
David E. Sanger,446.56
Portland Press Herald,48.09
2020 United States House of Representatives elections in Georgia,235.99
Defense Production Act,178.52
Sixth Party System,319.21
"Maricopa County, Arizona",2176.75
United States presidential elections in New Jersey,1892.46
1974 United States vice presidential confirmation,294.04
List of election bellwether counties in the United States,1940.55
Office for Democratic Institutions and Human Rights,450.94
Contingent election,5494.5
CBS News,366.27
Havasupai,68.55
List of Kamala Harris 2020 presidential campaign endorsements,2252.08
