File,Percent Increase
Primetime Emmy Award for Outstanding Reality Program,-100.0
Kill Bill: Volume 2,93.05
Ella Enchanted (film),34.95
Grant Heslov,59.19
Tom Hanks,66.29
Guillermo del Toro,45.97
Michael Kors,12.97
Halloween II (2009 film),619.35
A Rage in Harlem,-100.0
Robert Altman,21.91
Cathy Schulman,479.59
Arnold Kopelson,58.65
Billy Wilder,35.19
Marc Norman,186.07
Charles James (designer),404.62
Academy Award,-100.0
Zack and Miri Make a Porno,111.14
Jackson Browne,71.29
August: Osage County (film),71.8
Smoke (film),228.92
Adele Romanski,55.74
The Lord of the Rings: The Two Towers,121.91
Blye Pagon Faust,0
Escape from Planet Earth,87.39
Doctor of Humane Letters,90.61
Forrest Gump,73.19
The Hour of the Pig,1844.3
Ridley Scott,288.96
Jeff Bridges,186.02
Mark Johnson (producer),20.35
The Human Stain (film),85.83
Prêt-à-Porter (film),32.8
Robert Downey Jr.,71.64
Fran Walsh,40.93
Michael Lynne,30.34
Los Angeles County,136.51
David Boies,2902.06
Dede Gardner,32.54
Spy Kids: All the Time in the World,15.78
The King's Speech,110.02
Singapore,36.49
Metropolitan Police,70.74
Directors Guild of America,31.24
Tamara Mellon,37.73
People (magazine),31.98
Hero (2002 film),12.31
Terry Semel,27.74
Madonna: Truth or Dare,267.56
Kill Bill: Volume 1,54.35
Robert De Niro,60.05
Kathleen Kennedy (producer),176.62
Reality show,89.06
Rounders (film),43.87
Buddy Adler,996.7
Hollywood accounting,253.07
Reuters,6.53
Fruitvale Station,107.82
The Shipping News (film),200.68
Chocolat (2000 film),31.09
Anthony Minghella,139.46
Dracula 2000,189.13
The Crying Game,377.98
"Pomonok, Queens",6807.1
Jay and Silent Bob Strike Back,0
B. Monkey,3606.02
Ron Jeremy,40.08
Mark Christopher (director),32.94
Tony Bill,163.22
Miramax Books,757.89
Los Angeles Times,43.01
The Harvard Crimson,24.14
John Lasseter,94.7
Albert S. Ruddy,119.53
1408 (film),113.5
John Kerry,0
Sexual misconduct,0
Multiple sclerosis,119.12
Sacha Baron Cohen,78.7
Marchesa (brand),11291.61
Rachel Weisz,-100.0
Ole Bornedal,60.66
Brian Grazer,11.06
Jeffrey Katzenberg,305.63
Trey Parker,83.58
Quartz (publication),33.38
Democratic Party (United States),55.89
Woman in Gold (film),175.01
Sicko,124.52
47 Meters Down,375.77
My Boss's Daughter,111.11
Little Voice (film),75.06
Music of the Heart,69.46
The Big Man,240.85
The Pallbearer,103.89
Jodie Foster,393.61
Julia Louis-Dreyfus,1444.43
Mother's Boys,120.09
Superhero Movie,43.41
Hardware (film),88.91
54 (film),93.64
Donna Gigliotti,220.45
Ben Kingsley,64.95
Emile Sherman,47.06
Steven Spielberg,392.24
Ricky Gervais,49.02
Deadline Hollywood,1816.04
Rose McGowan,1497.06
Addicted to Love (film),160.3
Restoration (1995 film),28.23
Gareth Unwin,351.72
Helena Bonham Carter,35.33
James Schamus,47.78
David Franzoni,16.13
The Guardian,34.32
Steven Soderbergh,271.24
Things to Do in Denver When You're Dead,183.56
Richard D. Zanuck,207.13
Newspapers.com,25.89
Howard Stringer,54.41
Branko Lustig,35.5
C-SPAN,100.31
The Walt Disney Company,65.02
Farewell My Concubine (film),68.2
Nicole Rocklin,51.28
Frank McCarthy (producer),63.64
Amnesty International,47.27
Colin Firth,522.35
New York State Department of Corrections and Community Supervision,21.24
Billy Elliot the Musical,127.47
Mike Leigh,38.16
Legion of Honour,78.39
Steve Golin,40.75
Sarah Jessica Parker,238.67
Inglourious Basterds,55.9
Will Wright (game designer),67.77
The Brothers Grimm (film),273.93
Satellite Award for Best Film,359.38
Daniel Craig,56.31
The New Yorker,202.55
School for Scoundrels (2006 film),116.53
The Upside,-100.0
X-rating,3806.67
Albert R. Broccoli,33.35
Michael Lynton,163.28
Amy Schumer,117.25
Nina Garcia,132.64
The Aviator (2004 film),30.2
Martin Campbell,297.57
Sam Mendes,133.87
Rowman & Littlefield,132.95
Sidney Poitier,33.58
Clerks II,98.78
Roman Polanski,591.4
Underclassman,139.26
Rikers Island,-100.0
Holy Smoke!,107.11
Jerome Hellman,81.63
Ryan Phillippe,309.4
Apollo 18 (film),174.87
Cannes Film Festival,42.43
George Clooney,101.44
Michael Sugar,21.13
The Hollywood Reporter,64.39
Sex offender,17.01
Felicity Jones,37.1
British Film Institute Fellowship,233.33
Wayback Machine,117.95
Idris Elba,208.22
Palme d'Or,19.74
Vogue (magazine),26.75
Iain Canning,108.13
Jackie Chan,209.01
Flirting with Disaster (film),153.22
W. E. B. Du Bois,79.42
Charles H. Joffe,34.44
W.E.,61.62
Bob Weinstein,26259.68
Rachel Zoe,-100.0
Rolling Stone,-100.0
Barrie M. Osborne,52.63
Producers Guild of America Award for Best Theatrical Motion Picture,459.76
Gun control,593.41
Damian Lewis,57.5
Kenneth Branagh,440.52
