File,Percent Increase
Insurrection,41.14
Misuse,63.16
Jack Posobiec,539.64
Suicide of Vince Foster,1191.27
The Hill (newspaper),100.83
Tea Party movement,39.67
Pepe the Frog,38.04
Elizabeth Trump Grau,277.22
The Apprentice (U.S. season 5),53.91
Trump International Hotel and Tower (Chicago),39.15
Wikistrat,-100.0
People (magazine),135.93
Donald Trump Jr.,112.54
Cato Institute,46.58
White supremacy,82.36
YouTube,46.93
QAnon,0
Simon and Schuster,83.93
Matt Gaetz,1548.32
Antisemitism,141.96
Vanessa Trump,117.11
United States Secretary of the Interior,36.19
Freedom of Information Act (United States),69.48
Rob Goldstone,405.54
Zimbabwe,202.33
Los Angeles Times,-100.0
Fox News,84.48
Mary Anne MacLeod Trump,1920.99
Electoral College,56.37
Rinat Akhmetshin,362.39
New York Daily News,381.69
Robert Mueller,279.75
WikiLeaks,108.38
2017 Westminster attack,-4.02
US Magazine,46.15
Democratic Party (United States),27.28
Podesta emails,654.81
People for the Ethical Treatment of Animals,14.48
The Wall Street Journal,30.91
Skittles (confectionery),20.0
Trevor Noah,171.69
Trump Tower,35.45
Stripper,20.98
Julian Assange,160.74
HuffPost,53.96
Ike Kaveladze,551.02
David Hogg,81.51
The Political Cesspool,162.11
San Francisco Chronicle,13.07
The Guardian,9.64
C-SPAN,29.91
Citizens for Responsibility and Ethics in Washington,-0.97
Maryanne Trump Barry,1596.72
Forbes,24.26
Family of Donald Trump,96.66
Attorney General for the District of Columbia,191.84
Cambridge Who's Who,0
Marla Maples,67.05
Total war,32.03
Nick Fuentes,111.14
White House Chief of Staff,34.76
Greg Gianforte,83.9
Timeline of Russian interference in the 2016 United States elections,334.56
Maxine Waters,2470.85
Kimberly Guilfoyle,380.1
The Hollywood Reporter,1.28
Snopes.com,-100.0
Rudy Giuliani,751.82
Special counsel,213.39
The New York Times Best Seller list,12.89
Roseanne Barr,841.1
Pfizer,159.02
United States Capitol,35.2
Hunter Biden,130.45
40 Wall Street,55.8
Mike Cernovich,3167.42
The Washington Post,28.42
"Virginia gubernatorial election, 2017",42.36
Pat Toomey,71.53
Forced entry,-4.17
New York (magazine),9.86
Trump Park Avenue,-12.78
"The Telegraph (Alton, Illinois)",53.52
Arlington National Cemetery,1472.62
Mark Meadows,536.36
George Nader (businessman),103.34
Wharton School,64.04
The Daily Telegraph,24.2
The Kansas City Star,27.65
Vanessa Haydon,98.92
NPR,32.8
Ivanka Trump,121.38
Axios (website),103.48
United Arab Emirates,9.06
CNN,62.7
Mar-a-Lago,-19.66
Trump Organization,14.66
Safari Club International,32.14
Economics,-100.0
The Week,108.7
Natalia Veselnitskaya,991.1
"Aspen, Colorado",40.28
Associated Press,16.25
Retweet,14.55
Bachelor of Science,17.87
The Times,155.41
White genocide conspiracy theory,168.26
Patrick Morrisey,46.54
The Atlantic,41.5
Republican Party (United States),51.44
Victim mentality,49.42
Robert Trump,171.09
Hydroxychloroquine,22.62
Mongolia,17.49
John G. Trump,506.61
Clinton Foundation–State Department controversy,977.92
Prosecutor,84.63
BBC News,114.66
AP News,74.68
Twitter,31.36
Trustee,21.2
Dana Rohrabacher,1175.85
Agence France-Presse,18.48
