File,Percent Increase
Foreign relations of the United States,118.68
Daniel Webster,46.41
Daisy (advertisement),573.64
Samuel Huntington (statesman),81.13
Pew,13.82
North Carolina,94.14
Eugene V. Debs,78.43
Federal government of the United States,297.9
Charles L. McNary,45.26
Southern Democrats,226.5
Politics of the United States,747.43
Twenty-fifth Amendment to the United States Constitution,543.11
Horatio Seymour,6.99
Andrew Jackson,291.62
Lewis Cass,102.1
New Hampshire,461.44
List of political parties in the United States,825.43
Governor (United States),356.03
"Progressive Party (United States, 1912)",276.21
"United States presidential election, 1988",1388.25
Elections in Idaho,364.29
Governor of Louisiana,172.13
Make America Great Again,1044.44
Governor of Colorado,142.72
"United States presidential election, 1976",1068.73
Elections in Arkansas,287.5
"United States presidential election, 1792",802.87
Liberalism in the United States,191.7
Elections in Oregon,2284.68
By-election,123.57
Internet activism,11.7
Joe Lieberman,187.25
James G. Field,368.97
Samuel J. Tilden,598.22
Walter Mondale,5.0
John Sparkman,169.57
Patrick Lucey,121.19
Thomas Jefferson,104.28
Governor of Massachusetts,237.22
United States presidential line of succession,356.39
United States presidential elections in California,473.73
William Alexander Graham,32.09
Presidential system,150.05
Tonie Nathan,689.13
Off-year election,644.06
Article Two of the United States Constitution,369.06
Governor of Mississippi,59.49
Elections in Kansas,255.74
2000 United States presidential election,1195.24
Charles J. Jenkins,48.61
"United States presidential election, 1816",675.63
List of United States district and territorial courts,98.17
Joseph Lane,75.18
Black conservatism,80.71
Thomas E. Bramlette,-6.82
Ulysses S. Grant,147.03
Secretary of State of Arkansas,9.43
Samuel Finley Vinton,26.09
Minnesota,70.4
"United States presidential election, 1828",616.76
"United States presidential election, 1800",419.04
Secretary of State of Alabama,81.67
Elections in the United States Virgin Islands,580.72
Fielding L. Wright,123.04
Secretary of State of Arizona,265.57
Elections in New York (state),4421.4
Attorney General of North Carolina,58.14
United States presidential elections in New Mexico,304.41
Whitelaw Reid,41.51
Individualist anarchism in the United States,88.1
Theodore Roosevelt,211.3
YouTube,296.42
Lieutenant Governor of Arkansas,217.58
Spiro Agnew,242.03
United States presidential elections in Arkansas,245.33
United States presidential elections in South Dakota,281.67
Third party (United States),879.22
Maryland,68.69
Attorney General of Florida,0
Governor of South Dakota,202.7
Zachary Taylor,331.8
US presidential election,2165.82
United States presidential elections in Arizona,376.47
Attorney General of Arkansas,93.02
Permanent members of the United Nations Security Council,34.17
Secretary of State of Idaho,98.41
Horse and buggy,30.51
United States presidential elections in Alabama,528.57
Pennsylvania,175.53
"United States presidential election, 1948",803.18
District of Columbia State Board of Education,0
Governor of Texas,196.27
"United States presidential election, 1960",834.03
Elections in Arizona,421.82
State Treasurer,84.31
United States presidential elections in Nebraska,339.06
Secretary of State of North Carolina,76.92
Governor of Oklahoma,186.21
Roger MacBride,361.52
Dan Quayle,557.91
Robert Goodloe Harper,282.98
Secretary of State of Nebraska,458.82
Francis Granger,74.4
United States presidential inauguration,1775.79
Stephen Colbert,327.33
List of United States state legislatures,791.36
List of social networking websites,7.01
Elections in Alabama,786.32
John Kerry,299.26
Sargent Shriver,100.84
United States presidential elections in Utah,325.0
Twenty-sixth Amendment to the United States Constitution,300.3
Plurality voting,1220.0
Wendell Willkie,-100.0
"Progressive Party (United States, 1924)",295.71
Secretary of State of Mississippi,80.68
Colin Powell,119.93
Elections in Alaska,2599.05
United States presidential elections in Hawaii,419.23
Democratization,-9.3
Democratic Party (United States),1024.0
Grassroots fundraising,65.47
Mickey Mouse,0
Dwight D. Eisenhower,305.36
Populist Party (United States),245.49
Governor of Alaska,176.42
Hiram Johnson,103.58
Title 3 of the United States Code,269.5
John Langdon (politician),93.93
Xcel Energy Center,63.03
United States presidential elections in Connecticut,0
United States district court,77.2
Thomas Pinckney,49.14
Semi-presidential system,52.88
Governor of Nevada,112.16
Levi P. Morton,265.07
Party leaders of the United States House of Representatives,190.21
Elections in Wisconsin,452.73
Exploratory committee,262.34
Sixth Party System,290.32
Texas,112.72
United States presidential elections in New Jersey,175.76
Margarette Leach,1374.34
Governor of Virginia,243.96
FactCheck.org,197.77
Governor of Montana,119.75
Governor of New York,187.39
"United States presidential election, 1964",914.92
Colorado State Board of Education,135.9
Sonia Sotomayor,284.6
John M. Palmer (politician),42.86
"Progressive Party (United States, 1948)",139.04
List of presidents of the United States,80.95
Green Party of the United States,1088.49
Lieutenant Governor of Rhode Island,12.5
Free Soil Party,200.82
Franklin D. Roosevelt,286.31
Political party,106.66
Red states and blue states,3626.99
Joseph J. Thorndike,154.55
"United States presidential election, 1804",684.04
Southern Democratic (United States),635.59
Elections in Vermont,468.45
Hawaii,57.05
Alabama State Board of Education,19.09
Governor of Iowa,126.4
"United States presidential election, 1812",658.89
Ronald Reagan,755.69
Elizabeth Warren,825.93
Mike Pence,2466.44
List of United States congressional districts,418.12
Texas Agriculture Commissioner,0
Governor of Indiana,934.32
Calvin Coolidge,316.37
Schuyler Colfax,139.18
Federal Election Commission,268.86
Governor of Kansas,302.48
Big Three television networks,87.09
Presidential election,1443.33
United States,153.81
Elections in Georgia (U.S. state),1348.23
United States presidential elections in North Carolina,312.9
Sarah Palin,201.38
"United States presidential election, 1972",1064.41
Governor of Oregon,0
"United States presidential election, 1796",570.88
Japan–United States relations,-100.0
Anti-Administration Party,-2.63
Running mate,646.58
Attorney General of Georgia,128.57
Governor of Puerto Rico,398.62
George M. Dallas,147.36
Secretary of State of Vermont,180.36
1976 United States presidential election,209.09
Herbert Hoover,411.29
Bob Dole,422.28
Nicholas Murray Butler,63.33
Lieutenant Governor of Louisiana,54.55
Elections in Minnesota,349.28
James S. Sherman,294.69
Governor of West Virginia,215.28
Wayback Machine,45.49
John Rutledge,65.81
United States presidential elections in Vermont,298.46
Ross Perot,958.36
Arab–American relations,42.11
1980 United States presidential election,88.68
United States Constitution,172.76
Democratic-Republican Party,428.81
Tennessee,35.53
Theodore Frelinghuysen,0
Attorney General of Rhode Island,68.18
Edmund Muskie,96.56
Elections in the United States,2265.05
Secretary of State of West Virginia,182.69
Party leaders of the United States Senate,267.18
Anti-Masonic Party,192.98
Social conservatism in the United States,312.29
Washington (state),117.19
United States presidential elections in Minnesota,0
United States Department of State,66.1
District of Columbia,483.48
1972 United States presidential election,215.52
"United States presidential election, 1848",674.3
Attorney General of Wisconsin,0
Lieutenant Governor of Mississippi,89.33
"United States presidential election, 1860",446.42
Speaker of the United States House of Representatives,366.72
"Iowa City, Iowa",58.29
Arkansas,118.94
Carly Fiorina,231.2
United States presidential elections in Iowa,478.18
United States Congress,837.5
Supreme Court of the United States,596.54
Richard Mentor Johnson,1339.78
Attorney General of Maryland,187.95
Ohio,154.7
Thomas A. Hendricks,264.91
Henry Lee (economist),44.23
"United States presidential election, 2004",1878.65
Charles W. Fairbanks,198.7
United States presidential elections in Maryland,417.31
Elbridge Gerry,89.78
Fourteenth Amendment to the United States Constitution,159.59
Walter Burgwyn Jones,258.45
Michael Dukakis,927.09
1984 United States presidential election,415.0
"United States presidential election, 1928",949.74
Andrew Johnson,195.12
New International Encyclopedia,107.43
"United States presidential election, 1900",724.7
National Republican Party,270.52
John Tyler,255.28
Nebraska,112.09
Governor of New Mexico,470.24
Attorney General of Massachusetts,42.86
People's Party (United States),135.53
2008 United States presidential election,620.0
Alexander Hamilton,116.89
Jimmy Carter,558.41
Twelfth Amendment to the United States Constitution,723.56
United States Secretary of Commerce,554.93
Steve Scalise,222.25
Governor of Florida,281.69
Paul Ryan,505.73
Caucus,238.52
Richard A. Epstein,73.68
Lieutenant Governor of Vermont,275.0
United States Electoral College,962.12
William S. Groesbeck,65.52
First Party System,190.36
"United States presidential election, 1888",1100.31
Tim Kaine,1824.35
Gallup (company),75.93
Emil Seidel,0
Constitution of the United States,159.08
Indiana,138.42
E-mail,65.32
Michigan Attorney General,0
Coattail effect,358.54
Article One of the United States Constitution,96.54
Second Party System,106.49
Governor of California,413.6
Governor of Kentucky,201.72
Mason–Dixon line,45.82
CNN,196.67
Governor of Delaware,0
Nebraska Department of Education,16.67
James Buchanan,313.63
Governor of Northern Mariana Islands,10.26
"United States presidential election, 1916",797.84
United States presidential elections in New Hampshire,0
William Hayden English,99.55
Governor of Guam,57.55
William R. King,69.41
List of elections in Massachusetts,105.68
Visa policy of the United States,93.59
Convention bounce,128.86
Hubert Humphrey,195.82
James Ross (Pennsylvania politician),24.56
Campaign finance in the United States,290.31
Lloyd Bentsen,57.07
Governor of Pennsylvania,90.22
"United States presidential election, 2012",5049.52
Faithless electors,1840.74
Whitehouse.gov,160.55
Alfred H. Colquitt,33.04
U.S. Census Bureau,16.11
United States presidential elections in Pennsylvania,431.86
Howard Dean,565.59
Alf Landon,275.14
