File,Percent Increase
List of vehicle-ramming incidents during George Floyd protests,397.51
Gannett,-100.0
George Floyd protests in Philadelphia,240.15
George Floyd protests in Pennsylvania,198.39
George Floyd protests in West Virginia,108.51
Omar Jimenez,1894.51
George Floyd protests in Connecticut,206.82
Criminal complaint,5530.77
Native Americans in the United States,13.16
List of police violence incidents during George Floyd protests,265.35
Singapore,-100.0
George Floyd protests in Hawaii,123.81
Death of Nina Pop,135.42
George Floyd protests in Michigan,140.86
Minnesota,286.11
Positional asphyxiation,4575.0
NBC,16.19
Reuters,75.82
George Floyd Square,1356.94
KSTP-TV,78.0
Inver Hills Community College,1114.81
Minnesota Department of Corrections,2339.33
Capitol Hill Occupied Protest,52.2
Killing of Breonna Taylor,22720.27
"Park High School (Cottage Grove, Minnesota)",2571.43
Killing of Alvin Cole,205.61
List of Minneapolis Chiefs of Police,2039.73
Derek Chauvin,8768.19
Buffalo police shoving incident,129.19
Federal Bureau of Prisons,23.21
Blue wall of silence,242.81
George Floyd protests,325.83
New York Daily News,53.6
"George Floyd protests in San Diego County, California",54.79
Tim Walz,935.75
BMW,-100.0
Star Tribune,129.11
The Wall Street Journal,14.93
George Floyd protests in Chicago,316.43
Mug shot,5.97
List of George Floyd protests in the United States,280.43
Eight minutes 46 seconds,2055.35
"George Floyd protests in Los Angeles County, California",0
"Washington County, Minnesota",528.13
Campaign Zero,154.71
KTVK,83.61
"Minneapolis, Minnesota",233.12
Field training officer,1337.4
General Educational Development,77.89
United States Department of Justice,45.28
"Federal Correctional Institution, Tucson",21.98
George Floyd protests in Maryland,230.23
Tony Bouza,313.46
WFTS-TV,63.25
Minneapolis–Saint Paul,375.48
List of Black Lives Matter street murals,51.85
Prejudice (legal term),-100.0
Commendation Medal,17.38
Trial of Derek Chauvin,4384.62
Tax evasion in the United States,49.06
George Floyd protests in Massachusetts,265.57
"When the looting starts, the shooting starts",386.49
BREATHE Act,485.71
The Daily Beast,76.98
McDonald's,31.28
George Floyd protests in Belgium,98.59
Killing of Walter Wallace,108.32
Donald Trump photo op at St. John's Church,127.43
Manslaughter (United States law),3422.12
George Floyd protests in Vermont,108.82
List of George Floyd protests outside the United States,274.64
Germany,10.53
Third-degree murder,29875.6
The Washington Post,29.51
George Floyd protests in Washington (state),-100.0
Incarceration in the United States,122.19
George Floyd protests in Italy,232.81
Jury,303.91
George Floyd protests in Tennessee,135.38
George Floyd protests in South Dakota,126.19
Police brutality in the United States,238.62
George Floyd protests in New York (state),105.71
Al Jazeera,273.64
Kenosha unrest,489.48
NPR,74.94
List of monuments and memorials removed during the George Floyd protests,83.89
The Straits Times,41.98
Killings of Aaron Danielson and Michael Reinoehl,394.65
CNN,-25.46
George Floyd protests in New Jersey,175.38
8:46 (special),208.44
Counterfeit,83.63
Hennepin County Sheriff's Office,1311.93
Qualified immunity,411.99
Minneapolis Star Tribune,125.0
Associated Press,356.48
Dakota County Technical College,2778.79
S2CID (identifier),195.25
Killing of Daniel Prude,-100.0
"Windermere, Florida",208.86
Medaria Arradondo,0
Lists of killings by law enforcement officers in the United States,1214.86
Bachelor of Science,27.89
George Floyd protests in New Mexico,0
George Floyd protests in South Carolina,124.56
George Floyd protests in Minnesota,574.39
Blackout Tuesday,206.21
Republican Party (United States),37.95
List of changes made due to the George Floyd protests,191.8
Killing of Dijon Kizzee,244.44
Felony murder,5005.7
George Floyd protests in Arizona,221.15
History of the Hmong in Minneapolis–Saint Paul,20620.35
Domestic violence,20.3
Minnesota Supreme Court,1564.71
George Floyd protests in Alabama,262.82
George Floyd protests in Canada,163.69
George Floyd protests in Ohio,233.9
Actions against memorials in Great Britain during the George Floyd protests,128.09
George Floyd protests in New York City,-100.0
BBC News,20.78
Second-degree murder,2059.83
8 to Abolition,199.09
Nightclub,10.18
Violence and controversies during the George Floyd protests,231.5
Killing of Rayshard Brooks,2330.7
George Floyd protests in Seattle,142.34
George Floyd protests in Texas,421.33
Lesser included offense,4130.64
George Floyd protests in Nebraska,134.33
Kenosha unrest shooting,565.32
PolitiFact,56.32
Time served,58.12
George Floyd protests in Wisconsin,231.58
"Newport, Minnesota",0
Minnesota Court of Appeals,1888.71
George Floyd protests in California,154.14
George Floyd protests in Arkansas,98.04
"Hohenfels, Bavaria",155.73
New York Times,16.75
"Cottage Grove, Minnesota",531.1
Killing of Andre Hill,2613.16
Grand jury,126.04
Body worn video,561.83
United States Army Reserve,313.11
2020 deployment of federal forces in the United States,178.77
Police abolition movement,455.05
George Floyd protests in Utah,208.62
George Floyd protests in New Zealand,122.97
Murder (United States law),3064.27
Title 18 of the United States Code,49.34
George Floyd protests in North Dakota,164.71
George Floyd protests in Virginia,64.86
George Floyd protests in the Netherlands,173.24
African Americans,65.3
Joint custody,53.78
"Washington, D.C.",215.67
Certified public accountant,1729.41
ABC News,60.47
"Oakdale, Minnesota",1229.98
"George Floyd protests in Columbus, Ohio",786.67
George Floyd protests in Florida,311.76
List of police reforms related to the George Floyd protests,349.11
Timeline of race relations and policing in Minneapolis–Saint Paul,680.95
"George Floyd protests in Richmond, Virginia",75.0
Shooting of Sean Monterrosa,2042.4
George Floyd protests in Minneapolis–Saint Paul,723.9
Murder of George Floyd,515253.49
Reactions to the George Floyd protests,230.45
George Floyd protests in Colorado,105.81
Gypsy cop,0
Killing of Dolal Idd,515.3
George Floyd protests in Georgia,122.81
Lists of George Floyd protests,0
Wall of Moms,98.44
George Floyd protests in Oklahoma,213.56
Conviction,16.38
Adjudication,110.9
"Rochester, Minnesota",27.64
George Floyd protests in Wyoming,94.34
"George Floyd protests in Washington, D.C.",147.32
George Floyd Law Enforcement Trust and Integrity Act,683.02
Bob Kroll (police officer),1404.85
Minneapolis Police Department,1460.96
Ojibwe,17.52
Use of torture by police in the United States,247.5
George Floyd protests in Idaho,295.0
Ending Qualified Immunity Act,243.1
USA Today,-100.0
NBC News,26.84
Killing of Marcellis Stinnette,457.65
Minneapolis Domestic Violence Experiment,37.39
Journal of Black Studies,0
George Floyd protests in Missouri,226.74
ISSN (identifier),150.0
George Floyd protests in Maine,215.56
Michael O. Freeman,4088.41
George Floyd Justice in Policing Act,3244.24
Anonymous (hacker group),86.39
"George Floyd protests in Portland, Oregon",138.75
Pepper spray,40.74
George Floyd protests in Kansas,134.48
George Floyd protests in Puerto Rico,43.4
Commission for Diversity in the Public Realm,228.37
Black Lives Matter,139.35
George Floyd protests in Oregon,101.96
Black Lives Matter Plaza,197.9
Keith Ellison,0
List of name changes due to the George Floyd protests,129.99
Doi (identifier),89.37
George Floyd protests in the United Kingdom,98.05
Defund the police,208.34
George Floyd,1977.72
Minnesota Department of Human Rights,0
Politico,45.32
George Floyd protests in Illinois,233.96
George Floyd protests in Louisiana,129.82
Police use of deadly force in the United States,800.98
Law enforcement,140.02
State income tax,50.17
George Floyd protests in Alaska,265.12
Supervised release,0
George Floyd protests in Iowa,246.67
George Floyd protests in Nevada,88.64
Alaska Natives,23.47
Hennepin County Government Center,3099.05
George Floyd protests in Indiana,209.62
Breonna Taylor protests,220.94
Police accountability,352.82
List of monument and memorial controversies in the United States,67.7
