File,Percent Increase
President of the Supreme Court of the United Kingdom,-100.0
Elizabeth II,381.29
"Prince Leopold, Duke of Albany",176.33
United States Ambassador to Kyrgyzstan,8866.67
London Biggin Hill Airport,48.49
"Charles Edward, Duke of Saxe-Coburg and Gotha",52.42
Kingdom of Scotland,65.06
"Prince Adolphus, Duke of Cambridge",69.5
FBI,23.47
National Audit Office (United Kingdom),0
HMS Cottesmore (M32),1978.0
Royal coat of arms of the United Kingdom,34.87
Michael Burrows,62.5
Coutts,59.47
Sex trafficking,120.62
Civil Service F.C.,89.05
HMS Invincible (R05),85.01
US Justice Department,170.0
Robert Young (materials scientist),166.67
Prime Minister of the United Kingdom,149.07
Moderator of the Presbyterian Church in Ireland,76.92
New Zealand,56.33
"Ralph Percy, 12th Duke of Northumberland",629.58
The Scout Association,34.32
Prince William of Gloucester,191.94
Midshipman,-17.59
David Boies,133.27
Gerard F. Gilmore,0
Royal New Zealand Army Logistic Regiment,133.33
Coat of arms of Ireland,43.47
Northern Ireland Assembly,219.15
Michael Jackson (bishop),32.21
Metropolitan Police,390.5
Lord Lieutenant,33.42
Kensington School,0
Westminster Abbey,17.52
Duke of York,164.46
Queen Elizabeth II Silver Jubilee Medal,332.0
York Racecourse,125.2
Jacqui Smith,116.17
RAF Lossiemouth,0
John Brockman (literary agent),2445.14
Reuters,41.72
Lieutenant Commander,0
Elizabeth II of the United Kingdom,35.56
Good Morning Britain (2014 TV programme),113.84
Royal Lancers,38.12
Prince consort,267.14
Ken Starr,611.28
Sakhalin-II,0
Frederick Wall,59.09
The Royal and Ancient Golf Club of St Andrews,119.52
Prince Arthur of Connaught,236.3
Phillip Thomas Hawkins,135.71
Sea Cadets (United Kingdom),80.49
Vice Admiral (Royal Navy),856.52
"James Hamilton, 5th Duke of Abercorn",81.44
K. C. Nicolaou,716.85
Earl of Inverness,533.85
United States Secretary of Defense,128.63
Royal Victorian Order,0
Tina Brown,0
The Diana Chronicles,100.0
Vicky Ward,584.43
RNAS Portland (HMS Osprey),207.41
Ilham Aliyev,25.92
David Brewer (broker),32.79
"Prince Albert Victor, Duke of Clarence and Avondale",140.88
Verbier,140.73
Mustique,1059.15
Geoff Thompson (football executive),186.49
"Ernest Augustus, Duke of Brunswick",0
The Football Association,47.02
Gillian Griffiths,120.69
University of Huddersfield,158.55
Norway,44.56
Sir Lindsay Hoyle,8809.38
Mexico,7.97
Dmitry Medvedev,5.94
University of Cambridge,14.05
Order of precedence in Northern Ireland,-100.0
Settled out of court,148.89
Yorkshire Regiment,61.95
Newsnight,147.53
"Katharine, Duchess of Kent",13.31
"Francis Egerton, 7th Duke of Sutherland",47.81
DK (publisher),41.24
Perceval House,59.26
Outward Bound,136.43
Dominic Raab,635.32
Lord Speaker,203.02
Paul G. Cassell,-8.33
Nadia Marcinko,422.64
The Guardian,28.93
Thames Valley Police,-100.0
C-SPAN,53.76
Order of Isabella the Catholic,37.82
Felipe VI,82.08
Kenneth Hahn,16.67
Earl Marshal,58.49
The Sunday Times,57.79
Peter Phillips,802.53
Francis Marindin,24.0
Duke of York and Albany,0
Royal dukedoms in the United Kingdom,143.71
Commander (Royal Navy),142.98
"Richard of York, 3rd Duke of York",516.68
