File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Marketing,4563.4,01/13/2018,5133.2,01/11/2018,12.49
Kounotori 7,20.2,02/03/2018,32.6,02/07/2018,61.39
Falcon Heavy,3661.8,01/21/2018,158281.6,02/07/2018,4222.51
Galileo (satellite navigation),725.8,02/24/2018,852.8,01/18/2018,17.5
GSAT-11,38.2,02/19/2018,278.2,02/25/2018,628.27
List of Intelsat satellites,64.6,02/04/2018,88.2,01/12/2018,36.53
David Bowie,12738.2,02/16/2018,0.0,01/09/2018,-100.0
Elon Musk,26420.8,01/20/2018,351064.8,02/07/2018,1228.74
2019 in spaceflight,66.2,01/30/2018,114.2,02/07/2018,72.51
Mariner 8,16.4,01/17/2018,32.8,02/09/2018,100.0
Alice Gorman,3.8,01/12/2018,21.6,02/15/2018,468.42
Falcon 9 flight 10,5.0,01/13/2018,15.6,02/15/2018,212.0
Koreasat 5A,13.4,01/19/2018,92.2,02/07/2018,588.06
Aerial Regional-scale Environmental Survey,14.6,01/20/2018,32.4,02/08/2018,121.92
BulgariaSat-1,34.8,03/03/2018,110.4,02/07/2018,217.24
Cosmic radiation,37.8,01/14/2018,102.8,02/07/2018,171.96
GLONASS-M,15.2,01/22/2018,19.2,01/17/2018,26.32
DSCOVR,20.6,01/22/2018,56.0,02/07/2018,171.84
ICESat-2,41.8,02/24/2018,55.2,02/05/2018,32.06
Business Insider,726.8,01/27/2018,582.4,03/05/2018,-19.87
Flinders University,144.0,01/21/2018,173.0,01/16/2018,20.14
Mariner 9,112.8,01/27/2018,141.6,02/07/2018,25.53
List of Mars orbiters,79.6,01/19/2018,191.8,02/07/2018,140.95
Escape velocity,1311.8,01/27/2018,3450.6,02/07/2018,163.04
EROS (satellite),24.6,01/23/2018,46.6,02/28/2018,89.43
Mars-Grunt,16.0,01/20/2018,30.8,02/12/2018,92.5
LiveScience,16.2,03/04/2018,28.2,01/20/2018,74.07
Falcon 9,1601.0,01/20/2018,16014.2,02/07/2018,900.26
2018 in spaceflight,1136.6,03/04/2018,2792.8,01/12/2018,145.72
Elliptic orbit,290.2,01/13/2018,703.2,02/07/2018,142.32
Jay Vijayan,15.2,01/20/2018,48.0,02/08/2018,215.79
Artificial satellite,78.2,02/24/2018,94.8,02/07/2018,21.23
Ecliptic plane,9.0,01/26/2018,14.4,02/20/2018,60.0
JPL Horizons On-Line Ephemeris System,12.0,01/26/2018,26.8,03/01/2018,123.33
Aviation Week & Space Technology,68.6,02/03/2018,155.6,02/15/2018,126.82
ABS-3A,12.8,03/03/2018,23.8,02/07/2018,85.94
J. B. Straubel,102.0,02/03/2018,232.8,02/07/2018,128.24
Brand management,559.2,02/03/2018,684.4,01/23/2018,22.39
