File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
List of 2020 Summer Olympics medal winners,4.2,06/27/2021,12852.8,08/08/2021,305919.05
Canal+,330.6,06/28/2021,803.0,08/11/2021,142.89
NBC Olympic broadcasts,162.2,08/18/2021,5387.8,07/24/2021,3221.7
Vietnam at the 2020 Summer Olympics,136.0,08/19/2021,4767.0,07/24/2021,3405.15
Venues of the 2020 Summer Olympics and Paralympics,10.6,06/29/2021,2784.8,07/24/2021,26171.7
Jamaica at the 2020 Summer Olympics,352.6,07/10/2021,4517.2,07/31/2021,1181.11
Iran at the 2020 Summer Olympics,338.4,08/19/2021,14514.4,07/24/2021,4189.13
"Discovery, Inc.",0.0,06/26/2021,3086.8,08/12/2021,0
Ghana at the 2020 Summer Olympics,0.0,06/26/2021,1677.2,08/03/2021,0
Government of Japan,0.0,06/26/2021,1491.6,07/18/2021,0
Japan Standard Time,0.0,06/25/2021,2385.6,07/24/2021,0
Liberia at the 2020 Summer Olympics,43.2,08/17/2021,509.0,07/23/2021,1078.24
Judo at the 2020 Summer Olympics,0.0,06/26/2021,33784.4,07/24/2021,0
Equestrian at the 2020 Summer Olympics,0.0,06/25/2021,18213.2,08/02/2021,0
Second Sino-Japanese War,3217.0,07/11/2021,3744.6,07/07/2021,16.4
Karate,0.0,06/26/2021,7693.4,08/05/2021,0
Greece at the 2020 Summer Olympics,200.4,08/19/2021,7572.4,08/02/2021,3678.64
Softball,825.0,07/04/2021,6302.0,07/27/2021,663.88
Skateboarding,0.0,06/26/2021,5488.2,07/25/2021,0
Dick Pound,260.0,07/01/2021,1946.0,07/23/2021,648.46
Fencing at the 2020 Summer Olympics,0.0,06/25/2021,28245.4,07/24/2021,0
Ecuador at the 2020 Summer Olympics,143.4,06/27/2021,5023.4,07/24/2021,3403.07
Sudan at the 2020 Summer Olympics,42.0,08/17/2021,483.8,07/23/2021,1051.9
Kyodo News,60.8,06/28/2021,83.6,07/23/2021,37.5
