File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Natural track luge,9.0,02/25/2022,124.8,02/05/2022,1286.67
NBC Olympic broadcasts,157.6,03/01/2022,1923.2,02/05/2022,1120.3
Short track speed skating at the 2022 Winter Olympics – Men's 5000 metre relay,0.0,01/08/2022,3016.2,02/16/2022,0
Lebanon at the 2022 Winter Olympics,15.8,03/02/2022,873.2,02/05/2022,5426.58
Paramount leader,580.0,01/15/2022,1046.6,02/05/2022,80.45
Figure skating at the 2022 Winter Olympics,1346.8,03/03/2022,42452.8,02/10/2022,3052.12
Mexico at the 2022 Winter Olympics,0.0,01/08/2022,5271.4,02/05/2022,0
Biathlon,1055.2,01/11/2022,18427.4,02/05/2022,1646.34
1984 Winter Olympics,525.0,01/13/2022,4195.8,02/05/2022,699.2
1940 Summer Olympics,222.4,01/14/2022,1004.6,02/05/2022,351.71
Latvia at the 2022 Winter Olympics,0.0,01/07/2022,1626.2,02/10/2022,0
Beijing 2022,38.8,02/28/2022,516.4,02/04/2022,1230.93
Pyeongchang County,257.4,01/12/2022,3265.4,02/05/2022,1168.61
Great Firewall,0.0,01/08/2022,1057.8,01/20/2022,0
Figure skating at the 2022 Winter Olympics – Qualification,75.6,03/03/2022,5487.6,02/08/2022,7158.73
Hong Kong at the 2022 Winter Olympics,0.0,01/08/2022,1109.2,02/05/2022,0
Denmark at the 2022 Winter Olympics,49.0,03/02/2022,1191.4,02/05/2022,2331.43
Brandenburg Gate,1157.0,01/22/2022,4244.6,02/25/2022,266.86
1976 Winter Olympics,0.0,01/07/2022,2448.2,02/05/2022,0
Opening ceremony,54.6,01/22/2022,342.6,02/28/2022,527.47
Bulgaria at the 2022 Winter Olympics,35.6,03/02/2022,1115.2,02/05/2022,3032.58
2032 Summer Olympics,1245.8,03/02/2022,14986.0,02/05/2022,1102.92
Wisconsin,2936.6,02/26/2022,4194.4,01/23/2022,42.83
Thailand at the 2022 Winter Olympics,41.2,02/28/2022,1677.4,02/05/2022,3971.36
Renewable energy,0.0,01/08/2022,2935.6,01/19/2022,0
Jim McGovern (American politician),111.8,02/26/2022,246.4,02/05/2022,120.39
1908 Summer Olympics,302.6,01/14/2022,982.0,02/20/2022,224.52
1924 Winter Olympics,299.8,01/16/2022,3908.6,02/07/2022,1203.74
Kitzbühel,148.0,03/02/2022,769.6,01/23/2022,420.0
Hebei province,7.2,01/15/2022,20.4,02/05/2022,183.33
NBC,6906.4,01/11/2022,10004.2,02/13/2022,44.85
Slovenia at the 2022 Winter Olympics,42.2,01/10/2022,2503.0,02/05/2022,5831.28
Reuters,1724.4,01/22/2022,4727.4,02/24/2022,174.15
Zero-COVID,424.6,02/26/2022,0.0,01/07/2022,-100.0
Luge at the 2022 Winter Olympics,157.0,03/02/2022,10459.6,02/10/2022,6562.17
Matthias Mayer,0.0,01/07/2022,6006.2,02/08/2022,0
Speed skating at the 2022 Winter Olympics,355.4,03/02/2022,16657.0,02/13/2022,4586.83
2028 Summer Olympics,2258.0,01/14/2022,22349.6,02/05/2022,889.8
1912 Summer Olympics,286.6,01/16/2022,1055.6,02/05/2022,268.32
National Olympic Committee,195.6,01/09/2022,1016.2,02/04/2022,419.53
1896 Summer Olympics,0.0,01/08/2022,2214.6,02/20/2022,0
Malaysia at the 2022 Winter Olympics,37.2,03/03/2022,4407.2,02/04/2022,11747.31
Sapporo,543.0,03/03/2022,1573.6,02/20/2022,189.8
Nature (journal),793.6,01/15/2022,1237.6,02/13/2022,55.95
National Olympic Committee and Sports Confederation of Denmark,8.2,01/13/2022,23.8,02/08/2022,190.24
List of Olympic Games host cities,3250.4,03/02/2022,68861.4,02/05/2022,2018.55
Olympic diploma,23.4,01/26/2022,260.6,02/09/2022,1013.68
Hungary at the 2022 Winter Olympics,0.0,01/07/2022,2116.0,02/05/2022,0
Italy,12753.6,01/15/2022,15842.2,02/13/2022,24.22
Radio Canada International,68.8,01/11/2022,91.6,02/28/2022,33.14
Portugal at the 2022 Winter Olympics,0.0,01/07/2022,1496.4,02/05/2022,0
China Central Television,1674.6,01/19/2022,3486.8,02/04/2022,108.22
