File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Richard Carrión,0.0,07/09/2016,179.6,08/22/2016,0
Slovenia at the 2016 Summer Olympics,0.0,07/08/2016,1681.0,08/11/2016,0
Field hockey at the 2016 Summer Olympics,422.0,09/01/2016,24616.2,08/12/2016,5733.22
Federal Security Service,883.4,08/27/2016,1267.6,07/18/2016,43.49
Lamine Diack,43.8,07/17/2016,164.0,08/21/2016,274.43
Modern pentathlon at the 2016 Summer Olympics – Qualification,16.8,09/01/2016,588.6,08/19/2016,3403.57
Suriname at the 2016 Summer Olympics,73.8,07/16/2016,572.6,08/06/2016,675.88
Gymnastics at the 2016 Summer Olympics – Qualification,61.2,09/01/2016,9147.2,08/08/2016,14846.41
Fernando Meirelles,0.0,07/09/2016,1938.6,08/06/2016,0
Gabon at the 2016 Summer Olympics,0.0,07/09/2016,351.4,08/06/2016,0
Marathon swimming,106.8,07/17/2016,2693.4,08/15/2016,2421.91
Autódromo Internacional Nelson Piquet,0.0,07/08/2016,674.6,08/06/2016,0
Karate,2520.6,07/15/2016,4464.8,08/20/2016,77.13
Iraq at the 2016 Summer Olympics,0.0,07/09/2016,2724.2,08/06/2016,0
Softball,937.0,07/23/2016,13233.4,07/13/2016,1312.32
Libya at the 2016 Summer Olympics,0.0,07/09/2016,549.4,08/06/2016,0
Malaysia at the 2016 Summer Olympics,0.0,07/08/2016,8632.4,08/17/2016,0
Senegal at the 2016 Summer Olympics,59.2,07/10/2016,479.4,08/06/2016,709.8
Toronto Star,252.8,07/16/2016,333.2,08/16/2016,31.8
1984 Winter Olympics,334.4,07/16/2016,2882.2,08/09/2016,761.9
Kiribati at the 2016 Summer Olympics,107.0,07/16/2016,775.4,08/06/2016,624.67
Montenegro at the 2016 Summer Olympics,0.0,07/08/2016,845.2,08/06/2016,0
1940 Summer Olympics,0.0,07/08/2016,4301.4,08/06/2016,0
ESPN,1501.2,07/30/2016,2488.6,07/14/2016,65.77
Portugal at the 2016 Summer Olympics,162.0,09/01/2016,5031.6,08/06/2016,3005.93
Santiago Calatrava,0.0,07/08/2016,856.6,08/21/2016,0
Collective unconscious,564.2,07/16/2016,693.4,08/07/2016,22.9
National Equestrian Center,22.4,09/01/2016,517.4,08/08/2016,2209.82
Rio de Janeiro Stock Exchange,16.2,07/24/2016,54.4,08/22/2016,235.8
Maldives at the 2016 Summer Olympics,54.0,07/10/2016,373.8,08/06/2016,592.22
Costa Rica at the 2016 Summer Olympics,0.0,07/09/2016,790.6,08/06/2016,0
Somalia at the 2016 Summer Olympics,0.0,07/09/2016,963.2,08/06/2016,0
Hungary at the 2016 Summer Olympics,0.0,07/08/2016,6241.4,08/07/2016,0
2015–16 Zika virus epidemic,0.0,07/08/2016,2608.2,09/01/2016,0
1976 Winter Olympics,247.6,07/20/2016,1326.4,08/06/2016,435.7
San Francisco bid for the 2016 Summer Olympics,16.6,07/13/2016,130.2,08/06/2016,684.34
Olympic Flag,38.8,08/31/2016,556.6,08/06/2016,1334.54
Weightlifting at the 2016 Summer Olympics – Qualification,61.4,09/01/2016,1331.4,08/09/2016,2068.4
Comoros at the 2016 Summer Olympics,48.8,07/10/2016,542.0,08/06/2016,1010.66
Dubai bid for the 2016 Summer Olympics,22.6,07/12/2016,194.6,08/06/2016,761.06
2007 Pan American Games,117.8,07/20/2016,892.2,08/06/2016,657.39
Trinidad and Tobago at the 2016 Summer Olympics,0.0,07/09/2016,1996.0,08/06/2016,0
Bangladesh at the 2016 Summer Olympics,0.0,07/09/2016,1636.8,08/06/2016,0
1908 Summer Olympics,435.6,07/16/2016,5796.0,08/21/2016,1230.58
1924 Winter Olympics,203.4,07/15/2016,1297.2,08/22/2016,537.76
List of cyclists at the 2016 Summer Olympics,18.4,08/28/2016,758.8,08/06/2016,4023.91
Camp (style),0.0,07/09/2016,891.4,08/31/2016,0
ABC News (Australia),168.4,07/23/2016,198.8,07/12/2016,18.05
2016 Summer Olympics Parade of Nations,969.2,09/01/2016,94336.6,08/06/2016,9633.45
Museum of Tomorrow,84.6,07/16/2016,1069.2,08/21/2016,1163.83
Mali at the 2016 Summer Olympics,0.0,07/08/2016,299.0,08/06/2016,0
NBC,0.0,07/09/2016,3206.2,08/06/2016,0
Sky Television (New Zealand),139.4,07/17/2016,340.0,08/06/2016,143.9
Madrid,2896.8,07/29/2016,5110.8,07/10/2016,76.43
Sambadrome Marquês de Sapucaí,0.0,07/09/2016,926.2,08/14/2016,0
