File,Percent Increase
Boardwalk Empire,58.03
NYPD Blue,33.75
60 Minutes,91.74
1953 Coronation Honours,110.59
44th Primetime Emmy Awards,89.71
Elizabeth II,381.29
Delhi Crime,160.48
Lookism (manhwa),-100.0
This Is Us (season 2),246.86
John Lithgow,148.09
Imelda Staunton,44.85
Mission: Impossible (1966 TV series),9.97
Critics' Choice Television Award for Best Drama Series,168.83
41st Primetime Emmy Awards,28.57
MV Spirit of Chartwell,95.4
Mad Men (season 2),19.39
Burghart Klaußner,139.74
The Late Late Show with James Corden,0
Queen of Mauritius,52.87
Monarchy of the United Kingdom,107.75
Queen Victoria,65.88
Derek Jacobi,272.55
Andrew Parker Bowles,3798.46
"Diana, Princess of Wales",183.45
Monarchy of Saint Lucia,54.08
Lorne Balfe,221.13
Prime Minister of the United Kingdom,210.09
Chef's Table,59.54
List of Mr. Robot episodes,175.0
Prince William of Gloucester,191.94
List of The Shield episodes,-100.0
The Crown,139.35
15th Primetime Emmy Awards,-7.26
Monarchy of Tuvalu,107.04
Jeremy Northam,206.92
The Sopranos (season 6),24.78
Hilda (TV series),38.83
Royal Family Order of Elizabeth II,256.68
Pall Mall (horse),308.7
23rd Primetime Emmy Awards,59.62
Westminster Abbey,17.52
Sally Bedell Smith,83.57
Graham Sutherland,286.62
Firefly Lane,21.51
Simon Jenkins,44.7
List of The Practice episodes,9.03
The Queen (Justin Mortimer portrait),97.06
Treetops Hotel,270.22
Queen Elizabeth II Silver Jubilee Medal,220.0
ER (season 2),-100.0
The West Wing (season 3),55.41
Alternative Christmas message,332.56
Writers Guild of America Award for Television: Dramatic Series,239.34
Queen Elizabeth II Coronation Award,176.74
Highclere (horse),172.22
List of Northern Exposure episodes,45.43
YouTube,89.85
The Queen (British TV serial),153.85
68th Primetime Emmy Awards,62.02
Hatfield House,38.68
Walt Disney anthology television series,187.6
Philip Martin (director),184.62
Monarchy of New Zealand,78.38
Martin Bashir,1102.1
Perth Agreement,175.71
42nd Primetime Emmy Awards,329.45
Ainori,70.96
Royal Journey,118.6
Josh O'Connor,1186.64
4th Primetime Emmy Awards,7.69
The West Wing,48.5
New Slains Castle,78.93
Dear Rosie,0
Disenchantment (TV series),-100.0
Monarchy of Solomon Islands,63.85
Jason Watkins (actor),2073.22
Peter Townsend (RAF officer),529.96
Magic for Humans,1763.94
39th Primetime Emmy Awards,69.63
List of China Beach episodes,66.85
Homeland (season 1),37.34
Gillian Anderson,38.65
Downton Abbey,-100.0
Queen of Malawi,0
Mr. Robot,104.0
Better Call Saul,-100.0
Kent,19.62
Rosalind Knight,137.83
Komi Can't Communicate,83.9
Tim McMullan,986.33
10th Primetime Emmy Awards,2.15
Olivia Colman,547.87
Wrotham Park,211.15
Apollo 11,121.18
57th Primetime Emmy Awards,193.08
Game of Thrones (season 6),27.39
Coronation of Elizabeth II,317.83
The Affair (TV series),551.49
Sophie Leigh Stone,626.22
Dwight D. Eisenhower,33.4
TVLine,55.12
Monarchy of the Bahamas,6.81
Law & Order,-100.0
Mustique,1059.15
Winston (horse),-20.97
The Wall Street Journal,44.87
Game of Thrones (season 7),27.82
Great Central Railway (heritage railway),52.11
36th Primetime Emmy Awards,-7.73
