File,Percent Increase
President of the Supreme Court of the United Kingdom,63.69
60 Minutes,23.72
International Fleet Review 2013,163.46
Elizabeth II,984.09
"Prince Leopold, Duke of Albany",313.52
"Charles Edward, Duke of Saxe-Coburg and Gotha",0
Jack Posobiec,119.58
Courteney Cox,50.05
Kingdom of Scotland,40.1
David Cameron,128.18
"Prince Adolphus, Duke of Cambridge",348.34
Jo Brand,938.56
Bahamas,26.71
Penguin Random House,30.91
Royal coat of arms of the United Kingdom,619.21
Taliban,25.19
Google,14.01
"Diana, Our Mother: Her Life and Legacy",0
"Diana, Princess of Wales",5042.83
"Perth, Australia",637.1
Spike Lee,573.47
Prime Minister of the United Kingdom,214.99
Moderator of the Presbyterian Church in Ireland,60.61
"Ralph Percy, 12th Duke of Northumberland",465.07
Prince William of Gloucester,0
Independent.co.uk,72.73
Scallop,30.57
Marriage in England and Wales,416.39
Michael Jackson (bishop),0
Metropolitan Police,66.46
Lord Lieutenant,237.75
Westminster Abbey,0
Walt Disney World,6.16
Bryan Organ,1401.1
Sydney Opera House,7.45
Jheryl Busby,-3.79
Stephen K. Amos,166.95
Frances Shand Kydd,3402.06
Jack Dorsey,246.11
Lieutenant Commander,24.45
Maysan Governorate,329.26
Linda Thomas-Greenfield,180.0
Lady Sarah Armstrong-Jones,0
"Home Park, Windsor",0
Jackaroo (trainee),49.1
Demining,20.98
Gareth Thomas (rugby),118.88
Prince consort,407.43
Düsseldorf,0
High Court of Justice,59.92
Terrence Higgins Trust,216.97
Operational Service Medal for Afghanistan,981.55
Nice,10.62
Mail on Sunday,32.08
Charles II of England,191.2
Italy,53.09
Prince Arthur of Connaught,177.83
Cornet (military rank),2260.98
Public Health England,81.13
"James Hamilton, 5th Duke of Abercorn",0
Ana Dias Lourenço,113.04
Environmental activism,409.38
"El Centro, California",20.88
Fort Belvoir,48.71
Magic mushroom,131.95
Royal Victorian Order,396.37
Jeffrey Katzenberg,48.91
Royal Canadian Legion,18.03
Colin Powell,132.14
Cotswolds,159.14
Archbishop of Canterbury,795.92
"Prince Albert Victor, Duke of Clarence and Avondale",229.92
LeBron James,421.55
Msizi Africa,132.56
Baron Fermoy,0
Cocaine,9.69
"Ernest Augustus, Duke of Brunswick",110.31
Aspen Institute,51.97
The Taking of Prince Harry,842.22
Ayahuasca,61.5
Colchester,-100.0
William Addams Reitwiesner,1236.59
Sydney Harbour,24.74
Mark Binskin,219.85
Order of precedence in Northern Ireland,403.49
Botswana,428.04
Doreen Lawrence,2950.96
Belize,23.26
Surat,0
"Katharine, Duchess of Kent",0
"Francis Egerton, 7th Duke of Sutherland",164.01
NORFORCE,119.57
Dominic Raab,1002.03
Lord Speaker,86.99
Paddington,47.89
Robert Runcie,1098.19
Royal New Zealand Returned and Services' Association,476.92
Wired (magazine),37.29
The Guardian,26.75
Rhys Darby,-100.0
Combined Cadet Force,23.64
Rugby Football Union,91.67
C-SPAN,94.08
Order of Isabella the Catholic,280.2
Operation Herrick,5461.12
Fast Company,155.56
Earl Marshal,0
The Sunday Times,13.74
Peter Phillips,1459.58
Monarchy of Canada,439.34
Dwyane Wade,103.39
Royal dukedoms in the United Kingdom,1927.13
Motocross,35.22
Mental health,23.39
Malawi,36.0
Macquarie University Hospital,42.67
NAACP Image Award – President's Award,30.43
National Post,119.03
"David Armstrong-Jones, 2nd Earl of Snowdon",519.55
John Legend,209.42
NAACP,93.83
The Crown (TV series),117.44
Ludgrove School,0
Rugby League,21.91
"Prince Henry, Duke of Cumberland and Strathearn",0
London Marathon,-100.0
Jill Biden,-100.0
Dax Shepard,59.46
Michael Strahan,130.1
Arche,15.94
Psychedelics,138.22
Commonwealth Day,503.41
Daily Mirror,52.41
The Daily Beast,30.65
Peerage of Ireland,0
Hurricane Sandy,41.1
Liz Garbus,269.57
McDonald's,102.23
Manchester,35.7
Naval Air Facility El Centro,0
Māori Television,26.53
"St George's Chapel, Windsor Castle",6113.77
The Times of India,34.9
Air commodore,0
Peerage of Great Britain,503.34
People (American magazine),50.54
Vogue (magazine),59.39
Occupational burnout,31.56
Ted Cruz,31.13
Bernie Taupin,248.51
Sarah Lyall,115.91
RAF Leeming,26.11
The Diamond Queen (TV programme),109.72
Sikorsky UH-60 Black Hawk,4.26
Portia Simpson-Miller,323.31
Prince Andrew,0
Lord High Constable of Scotland,49.09
Jon Bon Jovi,486.27
Brigade of Gurkhas,0
List of shrievalties,36.47
Earl Spencer (peerage),4162.33
George III,481.32
Staff (military),23.98
Edward VIII,513.33
Susan L. Taylor,-100.0
Sheriff Principal,103.7
"Rupert Ponsonby, 7th Baron de Mauley",38.71
Supreme Court of the United States,22.6
"Charles Wellesley, 9th Duke of Wellington",400.28
Boxing,16.34
Warrior Games,876.02
Simon & Schuster,62.75
United Kingdom,56.14
"Edward Curzon, 6th Earl Howe",1516.25
"Henry Somerset, 12th Duke of Beaufort",0
The Washington Post,-100.0
New Idea,121.47
Order of the Companions of Honour,905.57
"Hugh Grosvenor, 7th Duke of Westminster",0
Princess Alice of Battenberg,427.65
Diana Spencer,512.88
Labrador Retriever,53.05
Vancouver Island,26.06
South Pole,27.48
Afrika Korps,664.9
Soledad O'Brien,190.23
"James Spencer-Churchill, 12th Duke of Marlborough",230.68
Succession to the British throne,5476.1
"John Reid, Baron Reid of Cardowan",345.63
"John Spencer, 8th Earl Spencer",4488.29
"Charles Gordon-Lennox, 11th Duke of Richmond",103.16
Attention deficit disorder,176.57
CFB Suffield,0
The Daily Telegraph,23.48
Paul Burrell,1274.06
George I of Great Britain,371.88
Psilocybin,74.55
Help for Heroes,73.36
"Swing Low, Sweet Chariot",16.56
Pen Farthing,188.24
Queen Elizabeth II,2422.3
Canada,46.1
Windsor Castle,3803.92
Elizabeth Hurley,317.48
Dermot Farrell,523.26
Service number,112.95
Canberra,10.34
George IV,517.51
Nazi Germany,35.49
Hoda Kotb,96.93
Royal Marines,122.79
Peerage of the United Kingdom,0
